title,original_price,current_price,stock_status,url
Exploding Kittens: El Bien...,$ 22.990,,,https://www.aldeajuegos.cl/mundo-exploding-kittens/4066-exploding-kittens-el-bien-contra-el-mal-0810083044699.html
Mada,$ 12.990,$ 10.392,Oferta,https://www.aldeajuegos.cl/party-game/3851-mada-724373627762.html
Simplicity,$ 22.990,$ 12.645,Oferta,https://www.aldeajuegos.cl/familiar/2861-simplicity-709081046531.html
Brainbox Animales,$ 14.990,$ 10.493,Oferta,https://www.aldeajuegos.cl/infantiles/2549-brainbox-animales-5025822234025.html
Cortex Kids 2,$ 14.990,,,https://www.aldeajuegos.cl/party-game/2236-cortex-kids-2-3770004936137.html
Draftosaurus: Marina y Show...,$ 19.990,,,https://www.aldeajuegos.cl/familiar/5152-draftosaurus-marina-y-show-aereo-793969563937.html
Quorum,$ 25.990,$ 12.995,Oferta,https://www.aldeajuegos.cl/tematicos/5201-quorum-8436607946229.html
The Red Cathedral:...,$ 21.990,,,https://www.aldeajuegos.cl/estrategia/3284-the-red-cathedral-contractors-expansion-8436589626751.html
Dixit -  Nueva Edición,$ 31.990,$ 25.592,Oferta,https://www.aldeajuegos.cl/party-game/2407-dixit-3558380083535.html
Dixit Odyssey Refresh,$ 31.990,,,https://www.aldeajuegos.cl/party-game/4749-dixit-odyssey-refresh-3558380120230.html
Century Maravillas del Oriente,$ 34.990,,,https://www.aldeajuegos.cl/familiar/3235-century-maravillas-del-oriente-8435407640252.html
Nunatak El Templo De Hielo,$ 44.990,$ 31.493,Oferta,https://www.aldeajuegos.cl/familiar/4948-nunatak-el-templo-de-hielo-.html
Arenas Movedizas,$ 22.990,,,https://www.aldeajuegos.cl/party-game/4691-arenas-movedizas-8435407642393.html
La Llamada Del Abismo – La...,$ 39.990,,,https://www.aldeajuegos.cl/estrategia/4875-revive-la-llamada-del-abismo-expansion-.html
Queendomino,$ 29.990,,,https://www.aldeajuegos.cl/estrategia/2268-queendomino-3770000904918.html
GG: Marvel Champions FINE...,$ 7.990,$ 3.995,Oferta,https://www.aldeajuegos.cl/juegos-de-cartas-coleccionables-lcg-y-tcg/4668-gg-marvel-champions-fine-art-sleeves-drax-4251715410646.html
Marvel Champions: Soldado...,$ 15.990,$ 11.193,Oferta,https://www.aldeajuegos.cl/familiar/5280-marvel-champions-soldado-de-invierno-winter-soldier-expansion-841333130923.html
Marvel Champions: Falcon...,$ 15.990,$ 11.193,Oferta,https://www.aldeajuegos.cl/tematicos/5279-marvel-champions-falcon-expansion-841333130886.html
Pelusas,$ 12.990,$ 11.042,Oferta,https://www.aldeajuegos.cl/familiar/4328-pelusas-724373627885.html
The Mind Extreme,$ 12.990,,,https://www.aldeajuegos.cl/party-game/3854-the-mind-extreme-781718780544.html
El Monstruo de Colores...,$ 24.990,,,https://www.aldeajuegos.cl/infantiles/5321-el-monstruo-de-colores-version-de-viaje-.html
Trio,$ 14.990,,,https://www.aldeajuegos.cl/party-game/4218-trio-8435407642034.html
