title,original_price,current_price,stock_status,url
Catan Energías,$60.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/catan-energias
Brass: Lancashire,$62.990,,,https://buhojuegosdemesa.cl/collections/catalogo/products/brass-lancashire
Wyrmspan,$70.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/wyrmspan-juego-de-mesa-de-dragones-stonemaier-games
El Gato y la Torre,$22.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/el-gato-y-la-torre
Hues and Cues,$30.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/hues-and-cues
Chao Pescao!,$20.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/chao-pescao
MicroMacro:All In,$36.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/micromacro-all-in
7 Wonders Dice,$30.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/7-wonders-dice
Sanssouci,$33.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/sansoucci
Twister,$22.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/twister
Risk,$40.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/risk
Pingüino Final,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/pinguino-final
Pack: Disfuncional,$97.000,$77.600,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/disfuncional
69: Un Juego para Traviesos (+18),$18.000,$15.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/69-un-juego-para-traviesos-18
Jenga,$15.000,$13.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/jenga
Hive Pocket Ultimate,$22.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/hive-pocket-ultimate
Monopoly Pokemon,$32.000,$30.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/monopoly-pokemon
Combo Breaker,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/combo-breaker
Arkham Horror,$74.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/arkham-horror-1
Tal´Dorei Renacido,$50.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/tal-dorei-renacido
Ubongo Brain,$16.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/ubongo-brain
Dorf Romantik,$47.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/dorfromantik
Criatura de las Sombras,$35.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/criatura-de-las-sombras
King of Tokyo: Origins,$30.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/king-of-tokyo-origins
Un dia en las Carreras,$36.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/un-dia-en-las-carreras
Catan: Mini expansión Santa Claus,$15.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/catan-miniexpansion-santa-claus
Sushi Go,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/sushi-go
Scooby-Doo: El Juego de Tablero,$60.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/scooby-doo-el-juego-de-tablero
Warhammer – Caja de Iniciación,$40.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/warhammer-caja-de-iniciacion
Polaris,$35.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/polaris
Catan: Piratas y Exploradores – Ampliación 5-6 Jugadores,$27.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/catan-piratas-y-exploradores-ampliacion-5-6-jugadores
Nebula,$35.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/nebula
No puedo parar!,$20.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/no-puedo-parar
Kings Gold,$20.000,$17.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/kings-gold
El Anillo Único - Caja de Iniciación,$50.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/el-anillo-unico
Trio,$16.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/trio
PACK: Santa Trinidad,$107.000,$91.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/pack-santa-trinidad
Trama,$28.000,$21.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/trama
Tulio Lulo Lana Tarro Patana,$16.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/tulio-lulo-lana-tarro-parana
Survive The Island,$30.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/survive-the-island
Marrakech,$32.000,$29.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/marrakech
Tanxi,$35.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/tanxi
Clink,$25.000,$18.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/clink
Polilla tramposa,$16.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/polilla-tramposa
Dragones de Mar,$35.000,$32.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/sin-nombre-1feb_17-52
Platypus,$25.000,$18.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/platyplus
Wizard,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/wizard
Wingspan,$68.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/wingspan
Vástagos de SHUB - NIGGURATH,$32.000,$28.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/vastagos-de-shub-niggurath
Dixit Disney 100 Años,$40.000,$34.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/sin-nombre-10oct_02-45
Feria de las pulgas Titirilquén,$15.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/feria-de-las-pulgas-titirilquen
Iki,$50.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/iki
Taco Revés Cabra Queso Pizza,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/taco-reves-cabra-queso-pizza
Dado de 20 caras de Peluche ❤️✨,En oferta desde $24.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/dado-de-20-caras-blanco
Carrera Carroña,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/carrera-carrona
Tough Calls: Dystopia,$17.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/tough-calls-dystopia
Unstable Unicorns: Apocalipsis Irisado,$15.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/unstable-unicorns-apocalipsis-irisado
Exploding Kittens Recetas del Desastre,$34.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/exploding-kittens-recetas-del-desastre
Here to Slay,$28.000,$25.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/here-to-slay
Doggy Style: 31 minutos (Segunda Edición),$18.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/doggy-style
Bunny Kingdom,$50.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/bunny-kingdom
Genial,$27.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/genial
MicroMacro: Crime City,$36.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/micromacro
Ensalada de Puntos,$15.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/ensalada-de-puntos
Taco Gato Cabra Queso Pizza,$15.000,$13.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/taco-gato-cabra-queso-pizza
Unstable Unicorns,$23.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/unstable-unicorns
Takenoko,$40.000,$38.000,Oferta,https://buhojuegosdemesa.cl/collections/catalogo/products/takenoko
Hula Hula,$13.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/hula-hula
Draftosaurus,$20.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/draftosaurus
Story Cubes ECO (9 dados),$12.000,,,https://buhojuegosdemesa.cl/collections/catalogo/products/story-cubes-eco-9-dados
