title,original_price,current_price,stock_status,url
7 Wonders,$50.000,,,https://www.calabozotienda.cl/ProdInfo/297
Animix,$13.000,$9.100,Oferta,https://www.calabozotienda.cl/ProdInfo/613
Azul Duel,$27.000,,,https://www.calabozotienda.cl/ProdInfo/173
Carcassonne,$30.000,,,https://www.calabozotienda.cl/ProdInfo/123
Carcassonne abierto y destroqu...,$23.990,,,https://www.calabozotienda.cl/ProdInfo/619
Carcassonne: Constructores y C...,$20.000,,,https://www.calabozotienda.cl/ProdInfo/585
Carcassonne: La Abadia y el Al...,$18.000,,,https://www.calabozotienda.cl/ProdInfo/601
Carcassonne: Las Apuestas,$12.991,$11.042,Oferta,https://www.calabozotienda.cl/ProdInfo/602
Carcassonne: Set de Miniexpans...,$19.991,$16.992,Oferta,https://www.calabozotienda.cl/ProdInfo/604
Carcassonne: Torneos y Blasone...,$20.000,,,https://www.calabozotienda.cl/ProdInfo/388
Carcassonne: Torres y Ladrones...,$20.000,,,https://www.calabozotienda.cl/ProdInfo/391
Catan abierto y destroquelado ...,$29.990,,,https://www.calabozotienda.cl/ProdInfo/622
Catan Cartas Mini,$12.000,,,https://www.calabozotienda.cl/ProdInfo/309
Catan Expansion 5-6 Jugadores,$26.000,,,https://www.calabozotienda.cl/ProdInfo/152
Catan Juego Base,$35.000,,,https://www.calabozotienda.cl/ProdInfo/125
Catan Mercaderes y Barbaros,$36.000,,,https://www.calabozotienda.cl/ProdInfo/126
Catan Puzzles Logicos,$34.000,,,https://www.calabozotienda.cl/ProdInfo/522
Checkpoint Charlie,$18.000,,,https://www.calabozotienda.cl/ProdInfo/344
Código Secreto,$20.000,,,https://www.calabozotienda.cl/ProdInfo/108
Cortex Challenge,$16.000,,,https://www.calabozotienda.cl/ProdInfo/314
Dark World - Structure Deck,$20.000,,,https://www.calabozotienda.cl/ProdInfo/202
Dead Man´s Doubloons,$40.000,$24.000,Oferta,https://www.calabozotienda.cl/ProdInfo/600
Dino Party,$39.000,$23.400,Oferta,https://www.calabozotienda.cl/ProdInfo/654
Dixit Juego Base,$30.000,,,https://www.calabozotienda.cl/ProdInfo/129
Dixit Odyssey,$30.000,,,https://www.calabozotienda.cl/ProdInfo/130
Dobble,$12.500,,,https://www.calabozotienda.cl/ProdInfo/268
Dobble 31 Minutos,$16.500,,,https://www.calabozotienda.cl/ProdInfo/621
Dominio de los Elementos,$21.000,,,https://www.calabozotienda.cl/ProdInfo/189
El enigma de los templos,$20.000,$12.000,Oferta,https://www.calabozotienda.cl/ProdInfo/612
El Señor de los Anillos: Duel...,$31.000,,,https://www.calabozotienda.cl/ProdInfo/511
El Señor de los Anillos: Edic...,$40.000,,,https://www.calabozotienda.cl/ProdInfo/668
Exit: El Señor de los Anillos...,$15.000,,,https://www.calabozotienda.cl/ProdInfo/537
Exploding Kittens - El juego d...,$31.000,,,https://www.calabozotienda.cl/ProdInfo/454
Exploding Kittens Party Pack,$31.000,,,https://www.calabozotienda.cl/ProdInfo/635
Happy Little Dinosaurs Los Pel...,$13.490,$9.443,Oferta,https://www.calabozotienda.cl/ProdInfo/228
Hive Pocket Nueva edición,$20.000,,,https://www.calabozotienda.cl/ProdInfo/495
Hombres Lobo de Castonegro,$10.500,,,https://www.calabozotienda.cl/ProdInfo/140
Jenga (Clásico),$16.990,,,https://www.calabozotienda.cl/ProdInfo/469
Kingdomino,$23.000,,,https://www.calabozotienda.cl/ProdInfo/335
La Isla prohibida,$25.000,,,https://www.calabozotienda.cl/ProdInfo/141
La Selva Prohibida,$31.000,,,https://www.calabozotienda.cl/ProdInfo/170
Love Letter,$13.500,,,https://www.calabozotienda.cl/ProdInfo/145
MindBug,$17.990,,,https://www.calabozotienda.cl/ProdInfo/671
Monopoly Pokémon,$30.990,,,https://www.calabozotienda.cl/ProdInfo/456
Munchkin,$27.000,,,https://www.calabozotienda.cl/ProdInfo/147
Mysterium,$39.000,,,https://www.calabozotienda.cl/ProdInfo/636
Otro Día Será,$14.990,,,https://www.calabozotienda.cl/ProdInfo/593
Pandemic,$36.000,,,https://www.calabozotienda.cl/ProdInfo/320
Papas Traidoras,$21.990,,,https://www.calabozotienda.cl/ProdInfo/596
Polilla Tramposa,$16.000,,,https://www.calabozotienda.cl/ProdInfo/183
Poquer de Bichos,$16.000,,,https://www.calabozotienda.cl/ProdInfo/227
Potion Explotion,$40.000,,,https://www.calabozotienda.cl/ProdInfo/637
Power Hungry Pets,$15.500,,,https://www.calabozotienda.cl/ProdInfo/623
Rabbitz & Robots,$16.500,,,https://www.calabozotienda.cl/ProdInfo/151
"Si te ries, tomas",$18.000,,,https://www.calabozotienda.cl/ProdInfo/638
Splendor Duel,$24.000,$21.600,Oferta,https://www.calabozotienda.cl/ProdInfo/627
Survive the Island,$28.000,,,https://www.calabozotienda.cl/ProdInfo/549
Sushi Go,$15.000,,,https://www.calabozotienda.cl/ProdInfo/156
Takenoko,$42.000,,,https://www.calabozotienda.cl/ProdInfo/157
Terraforming Mars,$65.000,,,https://www.calabozotienda.cl/ProdInfo/275
Throw Throw Avocado,$26.000,,,https://www.calabozotienda.cl/ProdInfo/628
Tiempo de Tumulto,$35.000,,,https://www.calabozotienda.cl/ProdInfo/230
Unstable Unicorns,$22.500,,,https://www.calabozotienda.cl/ProdInfo/174
ZOMBIE KITTENS,$22.000,,,https://www.calabozotienda.cl/ProdInfo/163
7 Wonders Duel,$28.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/300
Abejorro Tramposo,$13.500,,Agotado,https://www.calabozotienda.cl/ProdInfo/150
Carcassonne Amazonas,$26.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/124
Catan - El Duelo,$25.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/567
Catan Ciudades y Caballeros,$36.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/127
Catan Edicion de Viaje,$33.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/516
Catan Miniexpansion Santa Clau...,$9.989,$8.990,Agotado,https://www.calabozotienda.cl/ProdInfo/527
Catan Navegantes,$35.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/128
Catfe,$17.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/592
Cortex Challenge Harry Potter,$16.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/524
Curao' Volao' o Weón,$20.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/255
Dixit Anniversary,$20.500,,Agotado,https://www.calabozotienda.cl/ProdInfo/131
Dobble Harry Potter,$16.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/153
Exploding Kittens,$20.500,,Agotado,https://www.calabozotienda.cl/ProdInfo/137
Exploding Kittens: El bien con...,$23.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/169
Fast Food Fear,$15.590,,Agotado,https://www.calabozotienda.cl/ProdInfo/343
Happy Little Dinosaurs,$23.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/413
Here to Slay,$26.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/318
Here To Sleigh,$16.000,$13.600,Agotado,https://www.calabozotienda.cl/ProdInfo/369
King of Tokyo 2da Edición,$33.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/142
King of Tokyo: Monster Box,$48.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/569
Kittin,$12.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/479
Mala Leche Aji,$22.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/274
Mala Leche Marihuana,$22.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/273
Mala Leche Original,$22.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/185
Mala Leche Platano,$22.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/266
One Piece Nakama – Amigos y ...,$25.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/512
Root - Juego Base,$65.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/258
Stone Age,$41.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/502
Story Cubes Harry Potter - Bli...,$13.500,,Agotado,https://www.calabozotienda.cl/ProdInfo/494
Super Cortex Challenge,$15.500,,Agotado,https://www.calabozotienda.cl/ProdInfo/277
Timeline Ecopack,$12.490,,Agotado,https://www.calabozotienda.cl/ProdInfo/240
Timeline Ecopack Chile,$12.500,,Agotado,https://www.calabozotienda.cl/ProdInfo/313
Tranvia Mortal,$25.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/639
Tulio Lulo Lana Tarro Patana 3...,$15.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/166
Virus,$19.990,,Agotado,https://www.calabozotienda.cl/ProdInfo/160
Virus2 Exp. Evolution,$16.000,,Agotado,https://www.calabozotienda.cl/ProdInfo/176
