title,original_price,current_price,stock_status,url
¡Hula Hula!,$12.990,,,https://carontejuegosdemesa.cl/producto/hula-hula/
¡No Gracias!,$12.990,,,https://carontejuegosdemesa.cl/producto/no-gracias/
Alakablast,$12.990,,Agotado,https://carontejuegosdemesa.cl/producto/alakablast/
Anda a Lavar,$15.990,,,https://carontejuegosdemesa.cl/producto/anda-a-lavar/
Arte Moderno,$24.990,,Agotado,https://carontejuegosdemesa.cl/producto/arte-moderno/
Autumn,$9.990,,Agotado,https://carontejuegosdemesa.cl/producto/autumn/
Aventureros al Tren Europa,$44.990,,Agotado,https://carontejuegosdemesa.cl/producto/aventureros-al-tren-europa/
Barking Kittens,$15.990,,,https://carontejuegosdemesa.cl/producto/barking-kittens/
Blockits,$13.990,,Agotado,https://carontejuegosdemesa.cl/producto/blockits/
Carcassone,$19.990,,Agotado,https://carontejuegosdemesa.cl/producto/carcassone/
Catan Básico,$34.990,,,https://carontejuegosdemesa.cl/producto/catan-basico/
Catan Ciudades y Caballeros,$35.990,,Agotado,https://carontejuegosdemesa.cl/producto/catan-ciudades-y-caballeros/
Catan Mercaderes y Bárbaros,$35.990,,Agotado,https://carontejuegosdemesa.cl/producto/catan-mercaderes-y-barbaros/
Catan Navegantes,$34.990,,Agotado,https://carontejuegosdemesa.cl/producto/catan-navegantes/
Código Secreto,$19.990,,Agotado,https://carontejuegosdemesa.cl/producto/codigo-secreto/
Corruptia,$21.990,,Agotado,https://carontejuegosdemesa.cl/producto/corruptia/
Corruptia Segunda Vuelta,$14.990,,Agotado,https://carontejuegosdemesa.cl/producto/corruptia-segunda-vuelta/
Cthulhu Death may die,$109.990,,Agotado,https://carontejuegosdemesa.cl/producto/cthulhu-death-may-die/
Dados Pato Mar,$13.990,,Agotado,https://carontejuegosdemesa.cl/producto/dados-pato-mar/
Disco Rayado,$9.990,,Agotado,https://carontejuegosdemesa.cl/producto/disco-rayado/
Dixit Odyssey,$29.990,,Agotado,https://carontejuegosdemesa.cl/producto/dixit-odyssey/
