title,original_price,current_price,stock_status,url
Sobres MUNDIAL FIFA 2026 Panini,$1.200,,,https://cartonazo.com/producto/sobres-mundial-fifa-2026-panini/
Nexos,$24.990,,,https://cartonazo.com/producto/nexos/
Twilight Struggle,$44.990,,,https://cartonazo.com/producto/twilight-struggle/
Finspan,$49.990,,,https://cartonazo.com/producto/finspan/
Catan Big Box,$66.990,$60.990,Oferta,https://cartonazo.com/producto/catan-big-box/
Dino Fiesta,$17.990,,,https://cartonazo.com/producto/dino-fiesta/
Tichu,$9.990,,,https://cartonazo.com/producto/tichu/
La Torre Encantada,$15.990,,,https://cartonazo.com/producto/la-torre-encantada/
Dead Cells,$99.990,,,https://cartonazo.com/producto/dead-cells/
Flamecraft,$52.990,,,https://cartonazo.com/producto/flamecraft/
CATAN MERCADERES Y BÁRBAROS: Ampliación 5-6 jugadores,$27.990,$22.990,Oferta,https://cartonazo.com/producto/catan-mercaderes-y-barbaros-ampliacion-5-6-jugadores/
CATAN: Ampliación 5-6 jugadores,$24.990,$19.990,Oferta,https://cartonazo.com/producto/catan-ampliacion-5-6-jugadores/
El monstruo de Colores,$29.990,$23.990,Oferta,https://cartonazo.com/producto/el-monstruo-de-colores/
Paleo,$44.990,$35.990,Oferta,https://cartonazo.com/producto/paleo/
Wingspan,$64.990,,,https://cartonazo.com/producto/wingspan/
La Resistencia: Avalon,$24.990,$19.990,Oferta,https://cartonazo.com/producto/la-resistencia-avalon/
Oh mis Cocos,$15.990,,,https://cartonazo.com/producto/oh-mis-cocos/
Dioses de Naucratis,$14.990,,,https://cartonazo.com/producto/dioses-de-naucratis/
Skull King,$19.990,$15.990,Oferta,https://cartonazo.com/producto/skull-king/
Ubongo! Brain Game,$15.990,$12.790,Oferta,https://cartonazo.com/producto/ubongo-brain-game/
OLE GUACAMOLE!,$10.990,$9.390,Oferta,https://cartonazo.com/producto/ole-guacamole/
"Ramen, Ramen!",$16.990,$14.490,Oferta,https://cartonazo.com/producto/ramen-ramen/
Nutrias,$11.990,$10.000,Oferta,https://cartonazo.com/producto/nutrias/
Baby Dragon Baby,$15.990,,,https://cartonazo.com/producto/baby-dragon-baby/
Hitster Summer Party,$23.990,$20.490,Oferta,https://cartonazo.com/producto/hitster-summer-party/
Garras en Juego,$14.990,,,https://cartonazo.com/producto/garras-en-juego/
P.A.P.A. Preguntas Absurdas Para hacer a tus Amigos,$24.990,,,https://cartonazo.com/producto/p-a-p-a-preguntas-absurdas-para-hacer-a-tus-amigos/
One Piece Nakama – Amigos y Enemigos,$25.990,,,https://cartonazo.com/producto/one-piece-nakama-amigos-y-enemigos/
Smart 10 Expansión Superheroes,$14.990,,,https://cartonazo.com/producto/smart-10-expansion-superheroes/
Smart 10 Expansión Videojuegos,$14.990,,,https://cartonazo.com/producto/smart-10-expansion-videojuegos/
Virus,$19.990,$16.990,Oferta,https://cartonazo.com/producto/virus/
La Noche de Gansferatu,$14.990,,,https://cartonazo.com/producto/la-noche-de-gansferatu/
Jenga,$16.990,,,https://cartonazo.com/producto/jenga/
Biblotecarios Gritones (un juego de exploding kittens),$29.990,$25.490,Oferta,https://cartonazo.com/producto/biblotecarios-gritones-un-juego-de-exploding-kittens/
"Five Tribes, los genios de Naqala",$49.990,,,https://cartonazo.com/producto/five-tribes-los-genios-de-naqala/
MENSAJE EN LA BOTELLA,$11.990,,,https://cartonazo.com/producto/mensaje-en-la-botella/
Koinobori,$16.990,,,https://cartonazo.com/producto/koinobori/
We Will Rock You,$9.990,,,https://cartonazo.com/producto/we-will-rock-you/
Smart 10 Familiar,$25.990,,,https://cartonazo.com/producto/smart-10-familiar/
Smart 10 Expansión Música,$16.990,,,https://cartonazo.com/producto/smart-10-expansion-musica/
Smart 10 Ampliación,$17.990,,,https://cartonazo.com/producto/smart-10-ampliacion/
Dobble Paw Patrol,$15.990,$13.590,Oferta,https://cartonazo.com/producto/dobble-pawpatrol/
Cocos Locos,$24.990,,,https://cartonazo.com/producto/cocos-locos/
Hanabi,$12.990,$10.990,Oferta,https://cartonazo.com/producto/hanabi-antoine-bauza/
Ierusalem Anno Domini – Juego de Mesa,$49.990,$39.990,Oferta,https://cartonazo.com/producto/jerusalem-juego-de-mesa/
Sushi Go! – Gira y come Dim Su,$24.990,$19.990,Oferta,https://cartonazo.com/producto/sushi-go-gira-y-come-dim-su/
El Gato y la Torre – Juego de Mesa,$21.990,,,https://cartonazo.com/producto/el-gato-y-la-torre-juego-de-mesa/
Spicy – juego de mesa,$14.990,,,https://cartonazo.com/producto/spicy-juego-de-mesa/
La Previa,$19.990,,,https://cartonazo.com/producto/la-previa/
Ilari Ilarié Cántalo,$19.990,,,https://cartonazo.com/producto/ilari-ilarie-cantalo/
Hitster Latino,$23.990,$20.490,Oferta,https://cartonazo.com/producto/hitster-latino/
Wyrmspan,$69.990,$60.000,Oferta,https://cartonazo.com/producto/wyrmspan-juego-de-mesa/
Formula 31,$19.990,,,https://cartonazo.com/producto/formula-31/
Bajo las Hojas,$24.990,,,https://cartonazo.com/producto/bajo-las-hojas/
Grua de Peluches,$14.990,$12.990,Oferta,https://cartonazo.com/producto/grua-de-peluches/
El Pantano de Feya,$34.990,,,https://cartonazo.com/producto/el-pantano-de-feya/
Dobble The Hobbit The Lord of The Ring,$16.990,$14.490,Oferta,https://cartonazo.com/producto/dobble-the-hobbit-the-lord-of-the-ring/
Kittin – juego de mesa,$12.990,,,https://cartonazo.com/producto/kittin-juego-de-mesa/
Upstream – Juego de mesa,$24.990,$19.990,Oferta,https://cartonazo.com/producto/upstream-juego-de-mesa/
Salami – Versión Deluxe,$49.990,,,https://cartonazo.com/producto/salami-version-deluxe/
Salami – Versión Estandar,$29.990,,,https://cartonazo.com/producto/salami-version-estandar/
Pot de Vin – juego de mesa,$11.990,,,https://cartonazo.com/producto/pot-de-vin-juego-de-mesa/
Claro – juego de mesa,$12.990,$10.390,Oferta,https://cartonazo.com/producto/claro-juego-de-mesa/
"Room, Agus & Monsters",$12.990,,,https://cartonazo.com/producto/room-agus-monsters/
1001 Islas – juego de mesa,$25.990,,,https://cartonazo.com/producto/1001-islas-juego-de-mesa/
Critical: La Fundación – 1ra Temporada,$35.990,,,https://cartonazo.com/producto/critical-la-fundacion-1ra-temporada/
Not Alone – Sanctuary (EXPANSIÓN),$21.990,$17.590,Oferta,https://cartonazo.com/producto/not-alone-sanctuary-expansion/
Lost Seas – juego de mesa,$24.990,$19.990,Oferta,https://cartonazo.com/producto/2330/
