title,original_price,current_price,stock_status,url
¡A Explorar! La Jungla,$15.990,,Agotado,https://cartonespesados.cl/product/a-explorar-la-jungla/
¡Aventureros al Tren! America,$44.990,$39.900,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-america/
¡Aventureros al Tren! Amsterdam,$14.990,$9.990,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-amsterdam/
¡Aventureros al Tren! Asia,$37.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-asia/
¡Aventureros al tren! Aurora boreal,$44.990,,,https://cartonespesados.cl/product/aventureros-al-tren-aurora-boreal/
¡Aventureros al Tren! El Corazón de África,$26.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-el-corazon-de-africa/
¡Aventureros al Tren! Europa,$44.990,$39.900,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-europa/
¡Aventureros al Tren! Expansión Japón – Italia,$42.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-expansion-japon-italia/
¡Aventureros al Tren! Francia (+ El Viejo Oeste),$42.990,,,https://cartonespesados.cl/product/aventureros-al-tren-francia-el-viejo-oeste/
¡Aventureros al tren! Iberia y corea del sur,$44.990,$40.490,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-iberia-y-corea-del-sur/
¡Aventureros al Tren! India,$31.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-india/
¡Aventureros al Tren! Londres,$14.990,$9.990,Oferta,https://cartonespesados.cl/product/aventureros-al-tren-londres/
¡Aventureros al Tren! New York,$14.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-new-york/
¡Aventureros al Tren! Polonia,$21.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-polonia/
¡Aventureros al Tren! Reino Unido y Pennsylvania,$37.990,,Agotado,https://cartonespesados.cl/product/aventureros-al-tren-reino-unido-y-pennsylvania/
¡Aventureros al Tren! San Francisco,$14.990,$9.990,Oferta,https://cartonespesados.cl/product/aventureros-al-tren-san-francisco/
¡Brujería!,$31.990,,Agotado,https://cartonespesados.cl/product/brujeria/
¡Callate!,$19.990,$14.990,Oferta,https://cartonespesados.cl/product/callate/
¡Otra vez sopa!,$14.990,$11.990,Oferta,https://cartonespesados.cl/product/preventa-otra-vez-sopa/
¡Pingüinos!,$37.990,,Agotado,https://cartonespesados.cl/product/pinguinos/
¡Tiburón!,$19.990,,,https://cartonespesados.cl/product/tiburon/
¡Toma 6!,$12.990,,,https://cartonespesados.cl/product/toma-6/
¿Cuánto cuesta esto?,$22.990,$16.990,Oferta,https://cartonespesados.cl/product/cuanto-cuesta-esto/
¿En Serio?,$19.990,,Agotado,https://cartonespesados.cl/product/en-serio/
¿Por que eres asi?,$19.990,,Agotado,https://cartonespesados.cl/product/por-que-eres-asi/
Protegido: [PREVENTA] Criaturas Maravillosas,$79.990,,Agotado,https://cartonespesados.cl/product/preventa-criaturas-maravillosas/
[PREVENTA] Criaturas Maravillosas – Gargantuas,$23.990,,Agotado,https://cartonespesados.cl/product/preventa-criaturas-maravillosas-gargantuas/
[PREVENTA] Criaturas Maravillosas – Nueva Tripulación,$19.990,,Agotado,https://cartonespesados.cl/product/preventa-criaturas-maravillosas-nueva-tripulacion/
[PREVENTA] Criaturas maravillosas — Pack mejora de componentes,$35.990,,Agotado,https://cartonespesados.cl/product/criaturas-maravillosas-pack-mejora-de-componentes/
[PREVENTA] Earthborne Rangers — Protectores del valle,$49.990,$46.990,Agotado,https://cartonespesados.cl/product/preventa-earthborne-rangers-protectores-del-valle/
[PREVENTA] Exploradores de Navoria,$49.990,$44.990,Agotado,https://cartonespesados.cl/product/preventa-exploradores-de-navoria/
[PREVENTA] Oraculo Loco,$21.990,$19.990,Oferta,https://cartonespesados.cl/product/oraculo-loco/
[PREVENTA] Robo rally,$59.990,$53.990,Agotado,https://cartonespesados.cl/product/preventa-robo-rally/
[PREVENTA] Tierras olvidadas — Exploradores,$24.990,,Agotado,https://cartonespesados.cl/product/preventa-tierras-olvidadas-exploradores/
[PREVENTA] Tigres Asiáticos,$79.990,,Agotado,https://cartonespesados.cl/product/preventa-tigres-asiaticos/
[Próximamente] Heat — Terreno Inestable (expansión),$29.990,,Agotado,https://cartonespesados.cl/product/proximamente-heat-terreno-inestable-expansion/
1 AM Jailbreak,$37.500,,Agotado,https://cartonespesados.cl/product/1-am-jailbreak/
13 Animals,$31.990,,,https://cartonespesados.cl/product/13-animals/
3 Actos,$12.990,,,https://cartonespesados.cl/product/preventa-3-actos/
3 Capítulos,$19.990,,Agotado,https://cartonespesados.cl/product/3-capitulos/
3 Tricky Pigs,$29.990,,Agotado,https://cartonespesados.cl/product/3-tricky-pigs/
3 Witches,$15.990,,Agotado,https://cartonespesados.cl/product/3-witches/
5 minute dungeon,$29.990,$25.990,Oferta,https://cartonespesados.cl/product/5-minute-dungeon/
5 Minute One Piece,$31.990,,,https://cartonespesados.cl/product/5-minute-one-piece/
5 Torres,$10.990,,,https://cartonespesados.cl/product/5-torres/
6 Forces,$31.300,,Agotado,https://cartonespesados.cl/product/6-forces/
7 Wonders,$47.990,,,https://cartonespesados.cl/product/7-wonders/
7 wonders dice,$29.990,$24.990,Oferta,https://cartonespesados.cl/product/7-wonders-dice/
7 Wonders Duel,$26.990,$24.990,Oferta,https://cartonespesados.cl/product/7-wonders-duel/
7 Wonders Duel Pantheon,$19.990,,Agotado,https://cartonespesados.cl/product/7-wonders-duel-pantheon/
9 Lives,$29.990,,,https://cartonespesados.cl/product/9-lives/
A Fake Artist Goes to New York,$22.990,$19.990,Oferta,https://cartonespesados.cl/product/a-fake-artist-goes-to-new-york/
Abalone Go,$11.990,$10.190,Oferta,https://cartonespesados.cl/product/abalone-go/
Abejitas Zum Zum,$22.990,,,https://cartonespesados.cl/product/abejitas-zum-zum/
Academia Abstracta,$9.990,,,https://cartonespesados.cl/product/academia-abstracta/
Academia Ninja,$15.990,,,https://cartonespesados.cl/product/academia-ninja/
Ace of Spades,$19.990,,,https://cartonespesados.cl/product/ace-of-spades-2/
Ace of Spades Expansión: Call of the Zombie,$7.990,,,https://cartonespesados.cl/product/ace-of-spades-expansion-call-of-the-zombie/
Age of Steam Deluxe Edition,$149.990,$134.990,Agotado,https://cartonespesados.cl/product/age-of-steam-deluxe-edition/
Age of Steam Deluxe: Expansion Volume I,$109.990,,,https://cartonespesados.cl/product/age-of-steam-deluxe-expansion-volume-i/
Age of Steam Deluxe: Expansion Volume II,$89.990,,,https://cartonespesados.cl/product/age-of-steam-deluxe-expansion-volume-ii/
Age of Steam Deluxe: Expansion Volume III,$89.990,,Agotado,https://cartonespesados.cl/product/age-of-steam-deluxe-expansion-volume-iii/
Age of Steam Deluxe: Expansion Volume IV,$89.990,,Agotado,https://cartonespesados.cl/product/age-of-steam-deluxe-expansion-volume-iv/
"Age of Steam Deluxe: Expansion Volume V, VI & Extras",$180.000,$30.000,Agotado,https://cartonespesados.cl/product/age-of-steam-deluxe-expansion-volume-v-vi/
Age of Steam Deluxe: Fichas de Vías de Acrílico,$64.990,,Agotado,https://cartonespesados.cl/product/age-of-steam-deluxe-fichas-de-vias-de-acrilico/
Agent Avenue,$22.990,,,https://cartonespesados.cl/product/agent-avenue/
Agricola 15 Aniversario,$119.990,$59.990,Oferta,https://cartonespesados.cl/product/agricola-15-aniversario/
Alakablast,$12.990,,,https://cartonespesados.cl/product/alakablast/
"Alcachofas ¡No, gracias!",$12.990,,,https://cartonespesados.cl/product/alcachofas-no-gracias/
Alebrijes,$14.990,,,https://cartonespesados.cl/product/alebrijes/
Alien G,$31.250,,Agotado,https://cartonespesados.cl/product/alien-g/
All aboard!,$9.990,,,https://cartonespesados.cl/product/all-aboard/
Amazonas,$12.990,,Agotado,https://cartonespesados.cl/product/amazonas/
Amazonia,$24.990,,,https://cartonespesados.cl/product/amazonia/
Amigos de Mierda,$12.990,,,https://cartonespesados.cl/product/amigos-de-mierda/
Amigos de Mierda 2,$12.990,,,https://cartonespesados.cl/product/amigos-de-mierda-2/
Anarchy Pancakes,$15.990,,,https://cartonespesados.cl/product/anarchy-pancakes/
Anda a lavar,$15.990,,Agotado,https://cartonespesados.cl/product/anda-a-lavar/
Animal sobre animal,$33.990,,Agotado,https://cartonespesados.cl/product/animal-sobre-animal/
Aqua,$35.990,$31.990,Oferta,https://cartonespesados.cl/product/aqua/
Aquaria,$74.990,,,https://cartonespesados.cl/product/aquaria/
Arcs,$79.990,,,https://cartonespesados.cl/product/arcs/
Arcs: Líderes y Transfondo,$19.990,,Agotado,https://cartonespesados.cl/product/arcs-lideres-y-transfondo/
