title,original_price,current_price,stock_status,url
Star Wars: The Deckbuilding Game - Refuerzos Rebeldes e...,$34.990,,,https://dementegames.cl/duelos/6746-star-wars-the-deckbuilding-game-refuerzos-rebeldes-e-imperiales.html
Dwellings of Eldervale (Español),$174.990,,,https://dementegames.cl/eurogames/6745-dwellings-of-eldervale-espanol.html
Batman: El Regreso del Caballero Oscuro - Edición Deluxe,$149.990,,,https://dementegames.cl/eurogames/6744-batman-el-regreso-del-caballero-oscuro-edicion-deluxe.html
Cerdo Mentiroso,$24.990,,,https://dementegames.cl/carrete/6738-cerdo-mentiroso.html
Vantage,$112.990,,,https://dementegames.cl/cooperativos/6735-vantage.html
Surfosaurus MAX,$24.990,$23.741,Oferta,https://dementegames.cl/cooperativos/6734-surfosaurus-max.html
Cómo Conocí a tu Serie,$19.990,,,https://dementegames.cl/familiares/6726-como-conoci-a-tu-serie.html
¡Aventureros al Tren! América Refresh,$47.990,,,https://dementegames.cl/familiares/6713-aventureros-al-tren-america-refresh.html
Rummi Clasic con Estuche - 4 Jugadores,$24.990,,,https://dementegames.cl/clasicos/6711-rummi-clasic-con-estuche-4-jugadores.html
Wyrmspan: Academia de Dragones,$37.990,,,https://dementegames.cl/eurogames/6227-wyrmspan-academia-de-dragones.html
Catán El Juego de Cartas (Segunda Edición),$14.990,,,https://dementegames.cl/familiares/6710-catan-el-juego-de-cartas-segunda-edicion.html
Pathfinder 2ª edición: Caja de Iniciación Remaster,$49.990,,,https://dementegames.cl/rol/6705-pathfinder-2-edicion-caja-de-iniciacion-remaster.html
Ubongo: Brain Games,$15.990,,,https://dementegames.cl/solitarios/6701-ubongo-brain-games.html
Compile,$19.990,,,https://dementegames.cl/duelos/6700-compile.html
El Bosque de Los Espiritus,$31.990,,,https://dementegames.cl/familiares/6699-el-bosque-de-los-espiritus.html
Skull King: Pack de Expansión,$14.990,,,https://dementegames.cl/familiares/6697-skull-king-pack-de-expansion.html
Exit: Aventuras en Catan,$15.990,,,https://dementegames.cl/tematicos/6695-exit-aventuras-en-catan.html
Salami,$26.990,,,https://dementegames.cl/familiares/6693-salami.html
Party & Co. Family (Nueva Edición),$27.990,$21.990,Oferta,https://dementegames.cl/familiares/6692-party-co-family-nueva-edicion.html
Magic Fairies,$14.990,,,https://dementegames.cl/infantiles/6685-magic-fairies.html
"Animal Sizes, Juego Didáctico",$14.990,,,https://dementegames.cl/infantiles/6684-animal-sizes-juego-didactico.html
Backgammon Madera,$28.990,,,https://dementegames.cl/clasicos/6650-backgammon-madera.html
Hitster Summer Party,$25.990,,,https://dementegames.cl/familiares/6636-hitster-summer-party.html
Everdell: Silverfrost Edición Esencial,$68.990,,,https://dementegames.cl/eurogames/6622-everdell-silverfrost-edicion-esencial.html
Fiebre de Papas Por la Noche,$15.990,,,https://dementegames.cl/familiares/6621-fiebre-de-papas-por-la-noche.html
Reforest: Plantas de la Costa Noroeste del Pacífico,$16.990,,,https://dementegames.cl/juegos-de-mesa/6620-reforest-plantas-de-la-costa-noroeste-del-pacifico.html
La Búsqueda de la Especie Perdida,$55.990,$53.191,Oferta,https://dementegames.cl/eurogames/6619-la-busqueda-de-la-especie-perdida.html
Pagan: Rumbo a lo Desconocido,$37.990,$36.091,Oferta,https://dementegames.cl/duelos/6617-pagan-rumbo-a-lo-desconocido.html
Tantrix,$27.990,,,https://dementegames.cl/juegos-de-mesa/6616-tantrix.html
Ace of Spades,$19.990,,,https://dementegames.cl/duelos/6615-ace-of-spades.html
Wingspan: Expansión de América,$34.990,,,https://dementegames.cl/familiares/6614-wingspan-expansion-de-america.html
Dobble One Piece,$16.990,,,https://dementegames.cl/infantiles/6612-dobble-one-piece.html
Barbecubes Veggie,$11.990,,,https://dementegames.cl/familiares/6611-barbecubes-veggie.html
Pack Earth + Organizador a color Folded Space,$82.990,$77.990,Oferta,https://dementegames.cl/folded-space/6595-pack-earth-organizador-a-color-folded-space.html
Pack Nucleum + Organizador a color Folded Space,$114.990,$111.990,Oferta,https://dementegames.cl/folded-space/6594-pack-nucleum-organizador-a-color-folded-space.html
Pack Wyrmspan + Organizador a color Folded Space,$91.990,$87.990,Oferta,https://dementegames.cl/folded-space/6593-pack-wyrmspan-organizador-a-color-folded-space.html
Pack Clank! Catacumbas + Organizador a color Folded Space,$94.990,$89.990,Oferta,https://dementegames.cl/folded-space/6592-pack-clank-catacumbas-organizador-a-color-folded-space.html
Exit: Conspiración en Venecia,$14.990,,,https://dementegames.cl/tematicos/6588-exit-conspiracion-en-venecia.html
Kingdomino (Segunda Edición),$21.990,,,https://dementegames.cl/familiares/6571-kingdomino-segunda-edicion.html
The Gang,$14.990,,,https://dementegames.cl/juegos-de-mesa/6557-the-gang.html
Pack El Valle de Los Molinos + Organizador a color Folded...,$104.980,$99.980,Oferta,https://dementegames.cl/folded-space/6549-pack-el-valle-de-los-molinos-organizador-a-color-folded-space.html
Pack Wingspan + Organizador Folded Space,$89.980,$86.980,Oferta,https://dementegames.cl/folded-space/6548-pack-wingspan-organizador-folded-space.html
Pack Earthborne Rangers + Organizador a color Folded Space,$143.990,$139.490,Oferta,https://dementegames.cl/folded-space/6545-pack-earthborne-rangers-organizador-a-color-folded-space.html
Pack 7 Wonders + Organizador Folded Space,$65.980,$62.980,Oferta,https://dementegames.cl/folded-space/6542-pack-7-wonders-organizador-folded-space.html
Historia de Origen,$29.990,,,https://dementegames.cl/juegos-de-mesa/6541-historia-de-origen.html
Ajedrez Magnético - Plegable Plástico,$17.990,,,https://dementegames.cl/clasicos/6535-ajedrez-magnetico-plegable-plastico.html
Ajedrez Premium de Madera - Magnético y Plegable,$34.990,,,https://dementegames.cl/clasicos/6534-ajedrez-premium-de-madera-magnetico-y-plegable.html
Etherstone,$37.990,$34.191,Oferta,https://dementegames.cl/juegos-de-mesa/6525-etherstone.html
Cakes!,$26.990,,,https://dementegames.cl/familiares/6504-cakes.html
Dodos Riding Dinos: First Race,$29.990,,,https://dementegames.cl/familiares/6503-dodos-riding-dinos-first-race.html
Naipes Bicycle Disney - Toy Story,$13.990,,,https://dementegames.cl/clasicos/6502-naipes-bicycle-disney-toy-story.html
5 Minute One Piece,$31.990,,,https://dementegames.cl/familiares/6460-5-minute-one-piece.html
Hint 2: Formas y Sonidos,$19.990,,,https://dementegames.cl/familiares/6456-hint-2-formas-y-sonidos.html
Hint Refresh,$19.990,,,https://dementegames.cl/familiares/6455-hint-refresh.html
DNUP,$13.990,,,https://dementegames.cl/familiares/6453-dnup.html
Spooky Tower,$21.990,,,https://dementegames.cl/familiares/6450-spooky-tower.html
En Sintonía,$21.990,,,https://dementegames.cl/cooperativos/6449-en-sintonia.html
Ninjago: Destinys Bounty Adventures,$44.990,,,https://dementegames.cl/familiares/6447-ninjago-destinys-bounty-adventures.html
Liar's Uno,$6.990,,,https://dementegames.cl/clasicos/6436-liar-s-uno.html
La Corte del Zar,$59.990,,,https://dementegames.cl/eurogames/6431-la-corte-del-zar.html
Dragon's Gold,$27.990,,,https://dementegames.cl/juegos-de-mesa/6429-dragon-s-gold.html
Kraftwagen: Age of Engineering,$62.990,$56.691,Oferta,https://dementegames.cl/eurogames/6428-kraftwagen-age-of-engineering.html
Garras en Juego,$14.990,,,https://dementegames.cl/infantiles/6421-garras-en-juego.html
Smart 10: Paquete de Ampliación,$17.990,,,https://dementegames.cl/familiares/6420-smart-10-paquete-de-ampliacion.html
Smart 10: Ampliación Viajes,$14.990,,,https://dementegames.cl/familiares/6419-smart-10-ampliacion-viajes.html
Smart 10: Ampliación Superhéroes,$14.990,,,https://dementegames.cl/familiares/6418-smart-10-ampliacion-superheroes.html
Smart 10: Ampliación Videojuegos,$14.990,,,https://dementegames.cl/familiares/6417-smart-10-ampliacion-videojuegos.html
Zoología,$37.990,$36.091,Oferta,https://dementegames.cl/juegos-de-mesa/6413-zoologia.html
Dorfromantik: Sakura,$46.990,,,https://dementegames.cl/cooperativos/6409-dorfromantik-sakura.html
Nexos,$25.990,$23.391,Oferta,https://dementegames.cl/duelos/6398-nexos.html
Unlock! Miniaventuras - En El Corazón del Océano,$6.990,,,https://dementegames.cl/juegos-de-mesa/6396-unlock-miniaventuras-en-el-corazon-del-oceano.html
Pareja de Pacotilla,$22.990,,,https://dementegames.cl/juegos-de-mesa/6390-pareja-de-pacotilla.html
Regine,$9.990,$8.991,Oferta,https://dementegames.cl/juegos-de-mesa/6386-regine.html
La Leyenda de los Cinco Anillos: El Fuego Interior,$3.990,$3.591,Oferta,https://dementegames.cl/juegos-de-mesa/6385-la-leyenda-de-los-cinco-anillos-el-fuego-interior.html
La Leyenda de los Cinco Anillos: Elementos Desatados,$3.990,$3.591,Oferta,https://dementegames.cl/juegos-de-mesa/6384-la-leyenda-de-los-cinco-anillos-elementos-desatados.html
Colt Express: Marshall y Prisioneros,$20.990,,,https://dementegames.cl/juegos-de-mesa/6379-colt-express-marshall-y-prisioneros.html
Colt Express: Caballos y Diligencias,$20.990,,,https://dementegames.cl/juegos-de-mesa/6378-colt-express-caballos-y-diligencias.html
Dobble Sports,$14.990,$13.491,Oferta,https://dementegames.cl/familiares/6372-dobble-sports.html
Pilo Pilo,$21.990,,,https://dementegames.cl/familiares/6366-pilo-pilo.html
Palabra de Pirata + Promo,$19.990,,,https://dementegames.cl/familiares/6363-palabra-de-pirata-promo.html
Mesa Para Dos,$19.990,,,https://dementegames.cl/familiares/6362-mesa-para-dos.html
Quick Stop,$24.990,,,https://dementegames.cl/carrete/6359-quick-stop.html
Ritual Ubuntu en Pareja - Vive Ubuntu,$16.990,$15.291,Oferta,https://dementegames.cl/familiares/6349-ritual-ubuntu-en-pareja-vive-ubuntu.html
Master Dater,$24.990,$22.491,Oferta,https://dementegames.cl/juegos-de-mesa/6348-master-dater.html
Circus Flohcati,$12.990,$10.392,Oferta,https://dementegames.cl/familiares/6334-circus-flohcati.html
Cat Between Us,$15.990,$14.391,Oferta,https://dementegames.cl/juegos-de-mesa/6336-cat-between-us.html
Forest Shuffle: Dartmoor,$32.990,,,https://dementegames.cl/eurogames/6332-forest-shuffle-dartmoor.html
JINXO,$24.990,,,https://dementegames.cl/juegos-de-mesa/6331-jinxo.html
Lealtad Cero,$22.990,,,https://dementegames.cl/juegos-de-mesa/6328-lealtad-cero.html
Carnuta,$19.990,,,https://dementegames.cl/juegos-de-mesa/6327-carnuta.html
Bloops,$11.990,,,https://dementegames.cl/eurogames/6326-bloops.html
Dos Tipos de Persona,$24.990,,,https://dementegames.cl/carrete/6325-dos-tipos-de-persona.html
Tag Team,$22.990,,,https://dementegames.cl/familiares/6324-tag-team.html
Ink,$39.990,,,https://dementegames.cl/eurogames/6323-ink.html
Dominio de los Elementos: Arena y Viento,$14.990,,,https://dementegames.cl/familiares/6321-dominio-de-los-elementos-arena-y-viento.html
Ziggurat,$42.990,$38.691,Oferta,https://dementegames.cl/cooperativos/6309-ziggurat.html
Star Realms: Rise of an Empire,$71.990,,,https://dementegames.cl/cooperativos/6307-star-realms-rise-of-an-empire.html
Dixit Kids,$24.990,,,https://dementegames.cl/familiares/6297-dixit-kids.html
Ajedrez Clásico - Djeco (DJ05216),$14.990,,,https://dementegames.cl/clasicos/6293-ajedrez-clasico-djeco-dj05216.html
P de Pizza,$14.990,,,https://dementegames.cl/carrete/6289-p-de-pizza.html
Rudolph,$9.990,,,https://dementegames.cl/juegos-de-mesa/6285-rudolph.html
Marvel Champions: Synthezoid Smackdown - Pack de Escenarios,$24.990,,,https://dementegames.cl/marvel-champions/6269-marvel-champions-synthezoid-smackdown-pack-de-escenarios.html
Marvel Champions: Wonder Man,$15.990,,,https://dementegames.cl/marvel-champions/6268-marvel-champions-wonder-man.html
Marvel Champions: Hércules,$15.990,,,https://dementegames.cl/marvel-champions/6267-marvel-champions-hercules.html
Las Dos Torres - El juego de bazas,$21.990,,,https://dementegames.cl/cooperativos/6265-las-dos-torres-el-juego-de-bazas.html
Abalone GO,$11.990,,,https://dementegames.cl/juegos-de-mesa/6263-abalone-go.html
Dobble Spider-Man,$16.990,,,https://dementegames.cl/familiares/6261-dobble-spider-man.html
Cartas para conectar: Parejas - Criando Juntos/as - Vive...,$32.990,$29.691,Oferta,https://dementegames.cl/familiares/6260-cartas-para-conectar-parejas-criando-juntosas-vive-ubuntu.html
Set de Juegos Clásicos: Dominó - Naipe - Dados,$11.990,,,https://dementegames.cl/clasicos/6255-set-de-juegos-clasicos-domino-naipe-dados.html
Cachos de Cuero Negro,$19.990,,,https://dementegames.cl/clasicos/6254-cachos-de-cuero-negro.html
Rummi Clasic Metal Box,$30.990,,,https://dementegames.cl/clasicos/6249-rummi-clasic-metal-box.html
El Resurgir del Dragón (Ed. Bolsillo),$24.990,$22.491,Oferta,https://dementegames.cl/rol/6247-el-resurgir-del-dragon-ed-bolsillo.html
Critter Kitchen: A la Carta,$30.990,,,https://dementegames.cl/juegos-de-mesa/6246-critter-kitchen-a-la-carta.html
Critter Kitchen,$49.990,,,https://dementegames.cl/juegos-de-mesa/6245-critter-kitchen.html
Zenith,$39.990,,,https://dementegames.cl/juegos-de-mesa/6243-zenith.html
Kronologic: Paris 1920,$31.990,,,https://dementegames.cl/juegos-de-mesa/6242-kronologic-paris-1920.html
El Portero Baldomero,$15.990,,,https://dementegames.cl/juegos-de-mesa/6241-el-portero-baldomero.html
Emberheart: Paquete Promocional,$6.990,,,https://dementegames.cl/eurogames/6230-emberheart-paquete-promocional.html
The Druids of Edora (Edición Limitada),$67.990,,,https://dementegames.cl/eurogames/6226-the-druids-of-edora-edicion-limitada.html
Naipe Cambia & Juega,$20.990,,,https://dementegames.cl/clasicos/6224-naipe-cambia-juega.html
Yogi (Segunda Edición),$13.990,$12.591,Oferta,https://dementegames.cl/familiares/6223-yogi-segunda-edicion.html
Uno Party Renovado,$9.990,,,https://dementegames.cl/juegos-de-mesa/6222-uno-party-renovado.html
Kanal,$74.990,,,https://dementegames.cl/eurogames/6220-kanal.html
Emberheart,$43.990,,,https://dementegames.cl/eurogames/6219-emberheart.html
Inferno: Plutus and Phlegyas,$37.990,,,https://dementegames.cl/eurogames/6217-inferno-plutus-and-phlegyas.html
One Piece Nakama - Amigos y Enemigos,$25.990,,,https://dementegames.cl/tematicos/6215-one-piece-nakama-amigos-y-enemigos.html
Mente Vacuna,$22.990,,,https://dementegames.cl/rapidos/6213-mente-vacuna.html
Uga Buga,$9.990,,,https://dementegames.cl/juegos-de-mesa/6212-uga-buga.html
Lucky Numbers,$25.990,$23.391,Oferta,https://dementegames.cl/juegos-de-mesa/6211-lucky-numbers.html
Turing Machine,$56.990,,,https://dementegames.cl/eurogames/6209-turing-machine.html
It's a Wonderful World: Guerra o Paz,$25.990,,,https://dementegames.cl/eurogames/6204-it-s-a-wonderful-world-guerra-o-paz.html
La Previa,$19.990,,,https://dementegames.cl/familiares/6202-la-previa.html
Ilari larié ¡Cántalo!,$19.990,,,https://dementegames.cl/familiares/6201-ilari-larie-cantalo.html
El Gato y La Torre,$21.990,,,https://dementegames.cl/rapidos/6199-el-gato-y-la-torre.html
Covenant,$59.990,,,https://dementegames.cl/eurogames/6190-covenant.html
Exit: La Academia de las Artes Mágicas,$17.990,,,https://dementegames.cl/tematicos/6186-exit-la-academia-de-las-artes-magicas.html
Carcassonne: Posadas y Catedrales Exp. 1 (3era Edición),$19.990,,,https://dementegames.cl/eurogames/6184-carcassonne-posadas-y-catedrales-exp-1-3era-edicion.html
Carcassonne: Torres y Ladrones Exp. 4 (3era Edición),$19.990,$17.991,Oferta,https://dementegames.cl/eurogames/6181-carcassonne-torres-y-ladrones-exp-4-3era-edicion.html
Carcassonne: Emisarios y Alcaldes Exp. 5 (3era Edición),$19.990,,,https://dementegames.cl/eurogames/6179-carcassonne-emisarios-y-alcaldes-exp-5-3era-edicion.html
Carcassonne: Puentes y Castillos Exp. 8 (3era edición),$19.990,,,https://dementegames.cl/eurogames/6178-carcassonne-puentes-y-castillos-exp-8-3era-edicion.html
Carcassonne: Hadas y Dragones Exp. 3 (3era Edición),$19.990,,,https://dementegames.cl/eurogames/6176-carcassonne-hadas-y-dragones-exp-3-3era-edicion.html
La Cultura Chupística,$24.990,,,https://dementegames.cl/rapidos/6158-la-cultura-chupistica-.html
Telestrations Refresh,$29.990,,,https://dementegames.cl/familiares/6157-telestrations-refresh.html
Conversaciones Profundas,$24.990,,,https://dementegames.cl/familiares/6156-conversaciones-profundas.html
Bananya,$16.990,,,https://dementegames.cl/familiares/6110-bananya.html
Ese Juego de los Sonidos,$29.990,,,https://dementegames.cl/juegos-de-mesa/6127-ese-juego-de-los-sonidos.html
Pelusas: Revolution,$14.990,,,https://dementegames.cl/rapidos/6134-pelusas-revolution.html
Marvel ¡Escaramuza! en New York,$27.990,$22.392,Oferta,https://dementegames.cl/juegos-de-mesa/6130-marvel-escaramuza-en-new-york.html
