title,original_price,current_price,stock_status,url
Catan: El Juego ampliación 5-6 jugadores,"24.990,00 CLP",,,https://devir.cl/catan-el-juego-ampliacion-5-6-jugadores
Catan Junior (Multilanguage),"29.990,00 CLP",,,https://devir.cl/catan-junior-multilanguage
Catan: El Juego,"34.990,00 CLP",,,https://devir.cl/catan-el-juego
Catan Plus 2019,"69.990,00 CLP",,Agotado,https://devir.cl/catan-plus-2019
Catan: El Juego de Cartas,"10.990,00 CLP",,,https://devir.cl/catan-el-juego-de-cartas
Catan: El Duelo,"24.990,00 CLP",,,https://devir.cl/catan-el-duelo
Catan: Mercaderes y Barbaros (expansión),"34.990,00 CLP",,,https://devir.cl/catan-expansion-mercaderes-y-barbaros
Catan: Mercaderes y Bárbaros (ampliación 5-6 jugadores),"27.990,00 CLP",,,https://devir.cl/catan-ampliacion-5-6-jugadores-mercaderes-y-barbaros
Catan: expansión Navegantes,"34.990,00 CLP",,Agotado,https://devir.cl/catan-expansion-navegantes
Catan: ampliación 5-6 jugadores Navegantes,"27.990,00 CLP",,Agotado,https://devir.cl/catan-ampliacion-5-6-jugadores-navegantes
Catan: expansión Ciudades y Caballeros,"35.990,00 CLP",,,https://devir.cl/catan-expansion-ciudades-y-caballeros
Catan: ampliación 5-6 jugadores Ciudades y Caballeros,"27.990,00 CLP",,,https://devir.cl/catan-ampliacion-5-6-jugadores-ciudades-y-caballeros
Catan: Piratas y Exploradores (expansión),"39.990,00 CLP",,,https://devir.cl/catan-piratas-y-exploradores-expansion
Catan: ampliación 5-6 jugadores Piratas y Exploradores,"24.990,00 CLP",,,https://devir.cl/catan-ampliacion-5-6-jugadores-piratas-y-exploradores
Carcassonne 2da Edición,"29.990,00 CLP",,,https://devir.cl/carcassonne-2da-edicion
Carcassonne Big Box,"59.990,00 CLP",,Agotado,https://devir.cl/carcassonne-big-box
Carcassonne Junior,"29.990,00 CLP",,,https://devir.cl/carcassonne-junior
Carcassonne: Safari,"29.990,00 CLP",,Agotado,https://devir.cl/carcassonne-safari
