title,original_price,current_price,stock_status,url
¿Qué es?,$ 13.000,$ 11.050,Oferta,https://www.drjuegos.cl/todos-los-productos/2339-que-es.html
Trivia del Mundo,$ 12.000,$ 10.200,Oferta,https://www.drjuegos.cl/todos-los-productos/2338-trivia-del-mundo.html
Bingo,$ 13.000,$ 11.050,Oferta,https://www.drjuegos.cl/todos-los-productos/2336-bingo.html
Yo lo vi!,$ 12.000,$ 10.200,Oferta,https://www.drjuegos.cl/todos-los-productos/2334-yo-lo-vi.html
Láminas Bachillerato,$ 6.000,$ 5.100,Oferta,https://www.drjuegos.cl/todos-los-productos/2332-laminas-bachillerato.html
Star Wars The Deckbuilding Game - Mandalorian Faction Pack,$ 18.000,$ 15.300,Agotado,https://www.drjuegos.cl/todos-los-productos/2331-star-wars-the-deckbuilding-game-clone-wars-preventa.html
Mmm!,$ 25.000,$ 21.250,Oferta,https://www.drjuegos.cl/todos-los-productos/2329-mmm.html
Fantasma Blitz Mini,$ 8.000,$ 6.800,Oferta,https://www.drjuegos.cl/fiesta/2328-fantasma-blitz.html
The Morris Dodo,$ 20.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2327-the-morris-dodo.html
Taco Gatito Pizza,$ 12.000,$ 10.200,Oferta,https://www.drjuegos.cl/todos-los-productos/2326-taco-reves-cabra-queso-pizza.html
Mr. Wolf,$ 20.000,$ 17.000,Oferta,https://www.drjuegos.cl/todos-los-productos/2324-mr-wolf.html
Dominó,$ 7.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2322-domino.html
¿Adivina quién?,$ 22.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2319-adivina-quien.html
Arkham Horror: André Patel,$ 17.000,,Agotado,https://www.drjuegos.cl/todos-los-productos/2317-arkham-horror-andre-patel.html
Arkham Horror LCG Core Set 2026,$ 70.000,,Agotado,https://www.drjuegos.cl/estrategia/2316-arkham-horror-el-juego-de-cartas-ed-revisada.html
Dobble Bluey,$ 17.000,,Oferta,https://www.drjuegos.cl/fiesta/2315-dobble-lilo-y-stitch-preventa.html
Patchwork Halloween,$ 15.000,$ 12.750,Oferta,https://www.drjuegos.cl/estrategia/2314-patchwork.html
Just One Refresh,$ 23.000,$ 19.550,Oferta,https://www.drjuegos.cl/fiesta/2313-just-one.html
Dungeons & Dragons Caja de Inicio - Héroes de las Tierras Fronterizas,$ 60.000,,Oferta,https://www.drjuegos.cl/rol/2312-dungeons-dragons-caja-de-inicio.html
Hibachi: ¡A Fuego!,$ 35.000,$ 31.500,Oferta,https://www.drjuegos.cl/todos-los-productos/2311-hibachi-a-fuego.html
Draftosaurus: Marina y Show Aéreo,$ 20.000,$ 17.000,Oferta,https://www.drjuegos.cl/estrategia/2309-draftosaurus-show-aereo.html
One Piece Nakama - Amigos y Enemigos,$ 26.000,$ 23.400,Oferta,https://www.drjuegos.cl/todos-los-productos/2308-one-piece-nakama-amigos-y-enemigos.html
Aeon's End: La Guerra Eterna,$ 105.000,$ 94.500,Oferta,https://www.drjuegos.cl/estrategia/2307-aeons-end.html
Pentago,$ 26.000,$ 23.400,Oferta,https://www.drjuegos.cl/todos-los-productos/2306-pentago.html
Junk Art Revolution,$ 40.000,$ 36.000,Oferta,https://www.drjuegos.cl/fiesta/2304-junk-art.html
Marvel Champions  Wonder Man,$ 16.000,,Oferta,https://www.drjuegos.cl/numero-de-jugadores/2303-marvel-champions-quicksilver.html
Marvel Champions  Hércules,$ 16.000,,Oferta,https://www.drjuegos.cl/numero-de-jugadores/2302-marvel-champions-quicksilver.html
Marvel Champions Civil War,$ 45.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2301-marvel-champions-trickster-takeover-pack-de-escenario.html
Marvel Champions Synthezoid Smackdown Pack de Escenario,$ 25.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2300-marvel-champions-trickster-takeover-pack-de-escenario.html
Fundas Just Sleeves Mini American Value Pack 44 x 67 mm (150),$ 5.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2299-fundas-just-sleeves-mini-european-46-x-71-mm-50.html
Fundas Just Sleeves Mini American 44 x 67 mm (50),$ 2.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2298-fundas-just-sleeves-mini-european-46-x-71-mm-50.html
Fundas Just Sleeves Mini European Value Pack 46 x 71 mm (150),$ 5.000,,Oferta,https://www.drjuegos.cl/todos-los-productos/2297-fundas-just-sleeves-mini-european-46-x-71-mm-50.html
