title,original_price,current_price,stock_status,url
Amigos de Mierda,$12.990,$11.990,Oferta,https://www.elpatiogeek.cl/products/amigos-de-mierda
La Feria de las Pulgas de Titirilquen,$14.990,$13.500,Oferta,https://www.elpatiogeek.cl/products/la-feria-de-las-pulgas-de-titirilquen
Hitster Temazos,$24.990,,,https://www.elpatiogeek.cl/products/hitster-temazos
Decisiones De Mierda,$12.990,$11.990,Oferta,https://www.elpatiogeek.cl/products/decisiones-de-mierda
Funda Stronghold Standard (63.5 x 88 mm),$2.490,,,https://www.elpatiogeek.cl/products/funda-stronghold-standard-63-5mm-x-88mm
Amigos de Mierda 2,$12.990,$11.990,Oferta,https://www.elpatiogeek.cl/products/amigos-de-mierda-2
Donde Las Papas Queman,$15.990,$14.990,Oferta,https://www.elpatiogeek.cl/products/donde-las-papas-queman
Mala Leche con Plátano,$21.990,$19.990,Oferta,https://www.elpatiogeek.cl/products/mala-leche-con-platano
Hitster Latino,$24.990,$22.990,Oferta,https://www.elpatiogeek.cl/products/hitster-latino
Dobble Blister Eco,$11.990,,,https://www.elpatiogeek.cl/products/dobble-blister-eco
Curao' Volao' o Weón,$19.990,$17.990,Oferta,https://www.elpatiogeek.cl/products/curao-volao-o-weon
Chupilca Hetero Love,$10.990,$9.500,Oferta,https://www.elpatiogeek.cl/products/chupilca-hetero-love
Telestrations Refresh,$29.990,$27.100,Oferta,https://www.elpatiogeek.cl/products/telestrations
Hitster,$24.990,$22.990,Oferta,https://www.elpatiogeek.cl/products/hitster
Taco Gato Cabra Queso Pizza,$11.990,$10.500,Oferta,https://www.elpatiogeek.cl/products/taco-gato-cabra-queso-pizza
Cortex Challenge,$14.990,$13.500,Oferta,https://www.elpatiogeek.cl/products/cortex-challenge
Exploding Kittens Base,$21.990,$19.990,Oferta,https://www.elpatiogeek.cl/products/exploding-kittens
Virus,$19.990,$17.990,Oferta,https://www.elpatiogeek.cl/products/virus
¿Quién fue?,$12.990,$11.500,Oferta,https://www.elpatiogeek.cl/products/quien-fue
