title,original_price,current_price,stock_status,url
Coffee Rush,$35.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/coffee-rush-coffeer
Inscripción Clasificatorio Carcassonne - 31 de Mayo 11.00hrs,$5.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/inscripcion-torneo-carcassonne
El Señor de los Anillos - Duelo por la Tierra Media,$30.000,$26.400,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/el-senor-de-los-anillos-duelo-por-la-tierra-media
La Feria De Las Pulgas De Titirilquen,$15.000,$12.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/la-feria-de-las-pulgas-de-titirilquen-31pulgas
Criaturas De Las Sombras,$35.000,$29.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/criaturas-de-las-sombras-criaturasdls
Heat Base,$63.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/heat-base-heat
Azul Duel,$27.000,$23.760,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/azul-duel
Trio,$16.000,$13.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/trio-trio
Dominio de los Elementos,$20.000,$16.400,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dominio-de-los-elementos
Flip 7,$17.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/flip-7
Tinderblox,$12.000,$10.200,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/tinderblox-tinderblox
Unstable Unicorns Base,$22.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/unstable-unicorns-base-uunicorns
Telestrations,$30.000,$25.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/telestrations-telestrations
Take Time + Fundas Exclusivas,$25.000,$21.250,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/take-time
Barbecubes,$12.000,$10.200,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/barbecubes
Lenguas Afuera,$28.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/lenguas-afuera
Harmonies,$33.000,$28.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/harmonies-harmonies
Here To Slay Base,$27.000,$22.950,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/here-to-slay-base-heretoslay
Survive The Island,$28.000,$23.800,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/survive-the-island
Happy Little Dinosaurs,$22.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/happy-little-dinosaurs-happyld
Oceanos de Papel,$13.000,$11.050,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/oceanos-de-papel
Dioses!,$25.000,$22.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dioses
Scout,$20.000,$16.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/scout-scout
Donde Las Papas Queman,$16.000,$12.800,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/donde-las-papas-queman-dondelaspapas
Criaturas Maravillosas,$80.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/criaturas-maravillosas
Dioses! - Aun mas Divinos,$18.000,$13.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dioses-aun-mas-divinos
Pelusas,$13.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/pelusas
Coffee Rush - Tartas Deliciosas,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/coffee-rush-tartas-deliciosas
Dobble - 31 Minutos,$16.000,$13.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dobble-31-minutos
Here To Slay - Here To Sleigh Exp.,$16.000,$12.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/here-to-slay-here-to-sleigh-exp
Caza Bombas,$45.000,$40.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/caza-bombas
Burger Ya!,$11.000,$9.350,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/burger-ya
Rhino Hero,$14.000,$12.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/rhino-hero-rhinohero1
Skull King,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/skull-king-skullking
The Mind,$13.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/the-mind-themind
Mal Trago,$16.000,$13.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/mal-trago-maltrago
Party Panda Pirates,$35.000,$30.800,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/party-panda-pirates
Barrio,$16.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/barrio-barrio
Catan Base,$35.000,$30.800,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/catan-base-catanb
Micro Macro - Crime City,$36.000,$31.680,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/micro-macro-crime-city
Kittin,$13.000,$11.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/kittin
Hues and Cues,$30.000,$25.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hues-and-cues
Sand,$30.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/sand
Ranking Top,$15.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/ranking-top
Exploding Kittens El Bien Contra El Mal,$22.000,$18.260,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/exploding-kittens-el-bien-contra-el-mal-expkitbien
Sky Team,$30.000,$27.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/sky-team
Happy Salmon,$13.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/happy-salmon-happysalm
Virus - Halloween,$6.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/virus-halloween-virush
Taco Gato Cabra Queso Pizza,$12.000,$10.200,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/taco-gato-cabra-queso-pizza-tacogato
Polilla Tramposa,$16.000,$13.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/polilla-tramposa-polilla
El Hobbit: Historia de una ida y una vuelta,$30.000,$26.400,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/el-hobbit-historia-de-una-ida-y-una-vuelta
Arcs,$80.000,$68.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/arcs
Splendor Duel,$23.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/splendor-duel
Criaturas Maravillosas - Nueva Tripulacion,$20.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/criaturas-maravillosas-nueva-tripulacion
El Señor de los Anillos - El Destino de la Comunidad,$70.000,$61.600,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/el-senor-de-los-anillos-el-destino-de-la-comunidad
Donde las Papas Queman - Apapalipsis,$17.000,$14.450,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/donde-las-papas-queman-apapalipsis
Virus,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/virus-virus
Dixit Memories,$20.000,$15.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dixit-memories-dixitexpme
Criaturas Maravillosas - Gargantuas,$24.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/criaturas-maravillosas-gargantuas
Rebel Princess,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/rebel-princess
Star Wars - Battle of Hoth,$50.000,$42.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/star-wars-battle-of-hoth
No Puedo Parar - 31 Minutos,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/no-puedo-parar-31-minutos
Hitster - Temazos,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hitster-temazos
Llamagedon,$16.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/llamagedon-llamag
SETI,$70.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/seti
Faraway,$23.000,$20.240,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/faraway
Las Dos Torres - El juego de bazas,$22.000,$19.360,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/las-dos-torres-el-juego-de-bazas
Hero Realms - Pack 5 Personajes,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hero-realms-pack-5-personajes
Pelusas Revolution,$15.000,$12.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/pelusas-revolution
The White Castle - Matcha,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/the-white-castle-matcha
Clank - Catacumbas,$67.000,$60.300,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/clank-catacumbas
Marvel Champions - La Era De Apocalipsis,$40.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/marvel-champions-la-era-de-apocalipsis
Root,$71.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/root-root
Virus - Evolution,$16.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/virus-evolution-virusev
Saboteur,$13.000,$11.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/saboteur-saboteurb
Llama,$13.000,$11.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/llama-llama
Dixit Base,$32.000,$25.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dixit-base-dixitb
Decisiones De Mierda,$13.000,$11.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/decisiones-de-mierda-decisiones
Catan Base Ext 5-6 Jugadores,$25.000,$21.250,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/catan-base-ext-5-6-jugadores-catanbext56
Aventureros Al Tren! Londres,$15.000,$12.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/aventureros-al-tren-londres-aventureroslon
Criaturas Maravillosas - Mejora Componentes,$36.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/criaturas-maravillosas-mejora-componentes
Exit - Calendario de Adviento,$38.000,$33.440,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/exit-calendario-de-adviento
Tic Tac Treck,$12.000,$10.200,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/tic-tac-treck
Heat - Visión de Tunel,$32.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/heat-vision-de-tunel
Power Hungry Pets,$15.000,$12.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/power-hungry-pets-powerhp
Whispering Woods,$25.000,$21.250,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/whispering-woods
Star Realms - Alerta Máxima,$2.500,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/star-realms-alerta-maxima
RCG: Random Card Generator,$15.000,$10.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/rcg
Hombres Lobo De Castronegro,$10.000,$8.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hombres-lobo-de-castronegro-hlobodc
Cometas,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/cometas-cometas
Fantasma Blitz,$16.000,$13.600,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/fantasma-blitz-fantasmab
La Morada Maldita,$20.000,$17.000,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/la-morada-maldita
Azul Base,$40.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/azul-base-azul1
La Comunidad del Anillo - El juego de bazas,$22.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/la-comunidad-del-anillo-el-juego-de-bazas
Captain Flip,$32.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/captain-flip
Party Panda Pirates - Cartas de Fiesta de la Trilogia Aviar,$7.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/party-panda-pirates-cartas-de-fiesta-de-la-trilogia-aviar
Saboteur - Ed 20 Aniversario,$22.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/saboteur-ed-20-aniversario-saboteur20
Happy Little Dinosaurs - Expansion 5-6 Jugadores,$16.000,$14.080,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/happy-little-dinosaurs-expansion-5-6-jugadores-hldext56
Everdell,$65.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/everdell-everdell
Ubongo,$35.000,$29.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/ubongo-ubongo
Tranvia Mortal,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/tranvia-mortal-tranviam
Patchwork,$15.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/patchwork-patchworkb
Jaipur,$20.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/jaipur-jaipur
Salsacia VS Conservia,$17.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/salsacia-vs-conservia
Toy Battle,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/toy-battle
Hitster,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hitster
Cryptid,$45.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/cryptid-cryptid
Toma Seis,$13.000,$11.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/toma-seis-tomaseis
Exploding Kittens Base,$22.000,$18.260,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/exploding-kittens-base-explodingb
The White Castle Duel,$26.000,$22.100,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/white-castle-duel
Hitster - Latino,$25.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hitster-latino
Hitster Bingo,$40.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/hitster-bingo
Art Society,$45.000,$38.250,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/art-society
Zombicide,$110.000,$93.500,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/zombicide-zombicide
Yogi,$15.000,$12.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/yogi-yogi
Regroup Chicken Army,$13.000,$11.050,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/regroup-chicken-army-regroupch
Regicide,$10.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/regicide-regicide
Times Up Family,$15.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/times-up-family-timesup
Just One,$23.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/just-one-justone
Dobble Dobble,$15.000,$12.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/dobble-dobble-dobble1
Cortex Challenge,$15.000,$12.750,Oferta,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/cortex-challenge-cortex1
Codigo Secreto,$21.000,,Agotado,https://juegosenroque.cl/collections/todos-los-juegos-de-mesa/products/codigo-secreto-codsecreto1
