title,original_price,current_price,stock_status,url
Telestrations,$24.990,,Agotado,https://www.juegosdelbosque.cl/telestrations
Throw Throw Burrito,$24.990,$20.990,Oferta,https://www.juegosdelbosque.cl/throw-throw-burrito
Scout,$22.990,$20.990,Oferta,https://www.juegosdelbosque.cl/scout
Harmonies,$32.990,$29.990,Agotado,https://www.juegosdelbosque.cl/harmonies
La Isla Prohibida,$19.990,,Agotado,https://www.juegosdelbosque.cl/la-isla-prohibida
Mal trago,$15.990,,Agotado,https://www.juegosdelbosque.cl/mal-trago
Cometas,$19.990,$17.990,Oferta,https://www.juegosdelbosque.cl/cometas
La Catedral Roja,$26.990,$24.990,Oferta,https://www.juegosdelbosque.cl/la-catedral-roja
Walkie Talkie,$9.990,$8.990,Agotado,https://www.juegosdelbosque.cl/walkie-talkie
TEN,$21.990,$19.990,Oferta,https://www.juegosdelbosque.cl/ten
Checkpoint Charlie 2da edición,$17.990,$15.990,Agotado,https://www.juegosdelbosque.cl/checkpoint-charlie-2da-edicion
Sound box,$24.990,,Agotado,https://www.juegosdelbosque.cl/sound-box
Queendomino,$29.990,$25.990,Oferta,https://www.juegosdelbosque.cl/queendomino
Maki Stack,$26.990,$23.990,Oferta,https://www.juegosdelbosque.cl/maki-stack
Catán Básico,$34.990,$29.990,Oferta,https://www.juegosdelbosque.cl/catan-basico
Carcassonne Básico 2da edición,$29.990,$25.990,Oferta,https://www.juegosdelbosque.cl/carcassonne-basico-2da-edicion
París La Cité de la Lumière,$23.990,$20.990,Oferta,https://www.juegosdelbosque.cl/paris-la-cite-de-la-lumiere
Fantasma Blitz,$12.990,$11.990,Oferta,https://www.juegosdelbosque.cl/fantasma-blitz
Tanxi,$34.990,$27.990,Oferta,https://www.juegosdelbosque.cl/tanxi
¡HULA-HULA!,$12.990,$10.990,Oferta,https://www.juegosdelbosque.cl/hula-hula
Mada,$12.990,$9.990,Oferta,https://www.juegosdelbosque.cl/mada
Mono Glotón,$16.990,$12.990,Oferta,https://www.juegosdelbosque.cl/mono-gloton
Pelusas,$12.990,$11.990,Oferta,https://www.juegosdelbosque.cl/pelusas
Saboteur: Edición 20 aniversario,$21.990,$17.990,Agotado,https://www.juegosdelbosque.cl/saboteur-edicion-20-aniversario
The mind,$12.990,$10.990,Agotado,https://www.juegosdelbosque.cl/the-mind
The Mind Soulmates,$16.990,$13.990,Oferta,https://www.juegosdelbosque.cl/the-mind-soulmates
Dobble Kids,$12.990,$10.990,Oferta,https://www.juegosdelbosque.cl/dobble-kids
Patchwork Halloween,$14.990,$13.990,Oferta,https://www.juegosdelbosque.cl/patchwork-halloween
Patchwork,$14.990,$13.990,Oferta,https://www.juegosdelbosque.cl/patchwork
Love Letter Blister,$12.990,,Agotado,https://www.juegosdelbosque.cl/love-letter-blister
Just One,$22.990,$20.990,Oferta,https://www.juegosdelbosque.cl/just-one
7 Wonders Duel,$26.990,$22.990,Oferta,https://www.juegosdelbosque.cl/7-wonders-duel
Brew,$39.990,$34.990,Oferta,https://www.juegosdelbosque.cl/brew
King of Tokyo,$29.990,$24.990,Agotado,https://www.juegosdelbosque.cl/king-of-tokyo
Un día en las carreras,$32.990,$28.990,Oferta,https://www.juegosdelbosque.cl/un-dia-en-las-carreras
Savernake Forest,$19.990,$15.990,Oferta,https://www.juegosdelbosque.cl/savernake-forest
Cities,$25.990,$22.990,Oferta,https://www.juegosdelbosque.cl/cities
Soviet Kitchen,$17.990,$15.990,Oferta,https://www.juegosdelbosque.cl/soviet-kitchen
