title,original_price,current_price,stock_status,url
Lacrimosa,$64.990,$57.990,Oferta,https://www.jugones.cl/productos/160-Lacrimosa
Las Ruinas Perdidas de Arnak,$57.990,,,https://www.jugones.cl/productos/97-Las_Ruinas_Perdidas_de_Arnak
Marvel Champions,$57.990,,,https://www.jugones.cl/productos/13-Marvel_Champions
Aventureros al Tren: Europa,$44.990,$39.990,Oferta,https://www.jugones.cl/productos/2-Aventureros_al_Tren_Europa
Azul Master Chocolatier,$44.990,,,https://www.jugones.cl/productos/45-Azul_Master_Chocolatier
Aventureros Al Tren: Japón & Italia,$42.990,,,https://www.jugones.cl/productos/71-
The River,$39.990,$28.990,Oferta,https://www.jugones.cl/productos/33-The_River
Pandemic,$36.990,$32.990,Oferta,https://www.jugones.cl/productos/86-Pandemic
Bamboo,$29.990,$27.990,Oferta,https://www.jugones.cl/productos/46-Bamboo
Pequeños grandes Crímenes,$26.990,,,https://www.jugones.cl/productos/255-
Pequeños grandes Zombis,$26.990,,,https://www.jugones.cl/productos/254-
7 Wonders Duel,$26.990,,,https://www.jugones.cl/productos/40-7_Wonders_Duel
Cities,$25.990,,,https://www.jugones.cl/productos/251-Cities
Polilla tramposa,$14.990,,,https://www.jugones.cl/productos/253-Polilla_tramposa
Sushi Go!,$12.990,,,https://www.jugones.cl/productos/252-Sushi_Go
Taco Gatito Pizza,$11.990,,,https://www.jugones.cl/productos/257-Taco_Gatito_Pizza
Taco Gorro Torta Caja Pizza,$11.990,,,https://www.jugones.cl/productos/256-Taco_Gorro_Torta_Caja_Pizza
Oath: Crónicas del Imperio y el Exilio,$149.990,,,https://www.jugones.cl/productos/189-
Sword & Sorcery: Crónicas Antiguas,$119.990,,,https://www.jugones.cl/productos/176-
Zombicide 2da Edición,$109.990,,,https://www.jugones.cl/productos/17-
La Guerra del Anillo,$89.990,,,https://www.jugones.cl/productos/172-La_Guerra_del_Anillo
Senda de luz y sombra,$84.990,,,https://www.jugones.cl/productos/175-Senda_de_luz_y_sombra
El Dilema del Rey,$74.990,,,https://www.jugones.cl/productos/15-El_Dilema_del_Rey
Venganza,$74.990,$69.990,Oferta,https://www.jugones.cl/productos/30-Venganza
Catan Edición Extra (Básico + Navegantes),$69.990,,,https://www.jugones.cl/productos/164-
Dinosaur World,$69.990,,,https://www.jugones.cl/productos/179-Dinosaur_World
Planet B,$69.990,,,https://www.jugones.cl/productos/174-Planet_B
Small World of Warcraft,$69.990,,,https://www.jugones.cl/productos/81-Small_World_of_Warcraft
Wonder Book,$69.990,$64.990,Oferta,https://www.jugones.cl/productos/61-Wonder_Book
Gloomhaven: Fauces del León,$68.990,,,https://www.jugones.cl/productos/154-
Bitoku,$62.990,$57.990,Oferta,https://www.jugones.cl/productos/47-Bitoku
Everdell,$62.990,,,https://www.jugones.cl/productos/9-Everdell
Wingspan,$62.990,,,https://www.jugones.cl/productos/8-Wingspan
Everdell Spirecrest,$61.990,$54.990,Oferta,https://www.jugones.cl/productos/10-Everdell_Spirecrest
"El Señor de los Anillos, LCG (Ed. Revisada)",$59.990,,,https://www.jugones.cl/productos/25-
Starship Captains,$59.990,,,https://www.jugones.cl/productos/177-Starship_Captains
The Magnificent,$59.990,$49.990,Oferta,https://www.jugones.cl/productos/32-The_Magnificent
El Ansia,$54.990,,,https://www.jugones.cl/productos/159-El_Ansia
Pacto con el Diablo,$54.990,,,https://www.jugones.cl/productos/194-Pacto_con_el_Diablo
Copenhagen,$49.990,,,https://www.jugones.cl/productos/170-Copenhagen
Everdell: Bellfaire,$49.990,,,https://www.jugones.cl/productos/64-Everdell_Bellfaire
Holi,$49.990,,,https://www.jugones.cl/productos/167-Holi
Ierusalem: Anno domini,$49.990,,,https://www.jugones.cl/productos/173-Ierusalem_Anno_domini
Iki,$49.990,$39.990,Oferta,https://www.jugones.cl/productos/157-Iki
The Mandalorian: Adventures,$49.990,,,https://www.jugones.cl/productos/241-The_Mandalorian_Adventures
King of Tokyo: Monster Box,$47.990,,,https://www.jugones.cl/productos/166-King_of_Tokyo_Monster_Box
7 Wonders,$45.990,,,https://www.jugones.cl/productos/38-7_Wonders
Aventureros Al Tren,$44.990,$39.990,Oferta,https://www.jugones.cl/productos/72-Aventureros_Al_Tren
Cascadia,$44.990,,,https://www.jugones.cl/productos/50-Cascadia
Photosynthesis,$44.990,,,https://www.jugones.cl/productos/165-Photosynthesis
Paleo,$42.990,,,https://www.jugones.cl/productos/87-Paleo
7 Wonders Architects,$39.990,,,https://www.jugones.cl/productos/39-7_Wonders_Architects
Calico,$39.990,,,https://www.jugones.cl/productos/5-Calico
King of New York,$39.990,,,https://www.jugones.cl/productos/169-King_of_New_York
Cottage Garden,$37.990,$29.990,Oferta,https://www.jugones.cl/productos/28-Cottage_Garden
