title,original_price,current_price,stock_status,url
7 Wonder Duel Base,$ 24.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1045-7-wonder-duel-base.html
7 Wonders - Juego De Mesa,$ 42.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/750-7-wonders-juego-de-mesa.html
Aetherdrift Collector...,$ 29.990,,,https://kaiojuegos.cl/juegos-de-mesa/1589-aetherdrift-collector-booster-mtg.html
Agricola: Animales en la...,$ 29.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1135-agricola-animales-en-la-granja.html
Alice Ha Desaparecido:...,$ 18.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1811-alice-ha-desaparecido-expansion-silent-falls-juego-de-mesa.html
Anno 1800 - Juego de Mesa...,$ 42.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/843-anno-1800-juego-de-mesa-espanol.html
Arkham Horror: El Juego de...,$ 53.990,,,https://kaiojuegos.cl/juegos-de-mesa/838-arkham-horror-el-juego-de-carta-ed-revisada.html
Arte Moderno (31 Minutos) -...,$ 22.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1645-arte-moderno-31-minutos-juego-de-mesa.html
Azul - Juego de Mesa,$ 36.990,,,https://kaiojuegos.cl/juegos-de-mesa/1601-azul-juego-de-mesa.html
Azul Duel - Juego de Mesa,$ 25.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2333-azul-duel-juego-de-mesa.html
Backgammon Madera - Juego...,$ 19.990,,,https://kaiojuegos.cl/juegos-de-mesa/2450-backgammon-madera-juego-de-mesa.html
Bandido - Juego de Mesa,$ 11.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1686-bandido-juego-de-mesa.html
Bang! El Juego del Salvaje...,$ 19.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1849-bang-juego-de-mesa.html
Booster Display: Set 2...,$ 144.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2318-booster-display-set-2-spiritforged-riftbound-tcg.html
Booster Display: Set 3...,$ 144.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2442-booster-display-set-3-unleashed-riftbound-tcg.html
Borderlands : Mister...,$ 114.990,,,https://kaiojuegos.cl/juegos-de-mesa/803-borderlands-mister-torgues-arena-of-badassery-juego-de-mesa.html
BrainBox Dinosaurios -...,$ 12.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1650-brainbox-dinosaurios-juego-de-mesa-3x2.html
BrainBox El Mundo - Juego...,$ 13.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1035-brainbox-el-mundo-juego-de-mesa.html
BrainBox Futbol - Juego de...,$ 13.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1663-brainbox-futbol-juego-de-mesa-3x2.html
Bulk Runes: Spiritforged -...,$ 19.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2317-bulk-runes-spiritforged-riftbound-tcg.html
Bundle Marvel Spiderman -...,$ 64.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1833-bundle-marvel-spiderman-mtg-cyber.html
Burger ¡Ya! - Juego De Mesa,$ 10.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1602-burger-ya-juego-de-mesa.html
Carcassonne 2da Edicion -...,$ 26.990,,,https://kaiojuegos.cl/juegos-de-mesa/668-carcassone-2da-edicion-juego-de-mesa.html
Casino 4 in 1 - Juego de Mesa,$ 28.990,,,https://kaiojuegos.cl/juegos-de-mesa/2451-casino-4-in-1-juego-de-mesa.html
Catan Base - Juego de Mesa,$ 29.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/845-catan-base-juego-de-mesa.html
Catan El Duelo: Eras...,$ 22.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2277-catan-el-duelo-eras-oscuras-eras-doradas.html
Catan: Ampliacion 5-6...,$ 24.990,,,https://kaiojuegos.cl/juegos-de-mesa/1072-catan-ampliacion-5-6-jugadores.html
Catan: Ciudades y...,$ 24.990,,,https://kaiojuegos.cl/juegos-de-mesa/1789-catan-ciudades-y-caballeros-5-6-jugadores.html
Catan: Energías - Juego de...,$ 55.990,,,https://kaiojuegos.cl/juegos-de-mesa/2280-catan-energias-juego-de-mesa.html
Catan: Mercaderes y...,$ 33.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1191-catan-mercaderes-y-barbaros-expansion.html
Catan: Navegantes...,$ 24.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1842-catan-navegantes-ampliacion-5-6-jugadores-juego-de-mesa.html
Catan: Piratas y...,$ 37.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2123-catan-piratas-y-exploradores-expansion.html
Champion Deck VI: Unleashed...,$ 25.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2479-champion-deck-vi-unleashed-riftbound-tcg.html
Codigo Secreto: Dúo,$ 20.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1124-codigo-secreto-duo.html
Collector Booster...,$ 34.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1834-collector-booster-spider-man-magic.html
Commander Deck Final...,$ 79.990,,,https://kaiojuegos.cl/juegos-de-mesa/1762-commander-deck-final-fantasy-revival-trance-magic.html
Commander Deck Lorwyn...,$ 59.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/2313-commander-deck-lorwyn-eclipsed-blight-curse-magic.html
Cortex Challenge - Juego de...,$ 13.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1139-cortex-challenge-.html
Cortex Challenge 2,$ 13.990,,Oferta,https://kaiojuegos.cl/juegos-de-mesa/1036-cortex-challenge-2-.html
