title,original_price,current_price,stock_status,url
¿Quién fue?,$13.000,,,https://kimunaustral.cl/producto/quien-fue/
Agrícola,$59.000,,,https://kimunaustral.cl/producto/agricola/
Amazona,$11.000,,,https://kimunaustral.cl/producto/amazona/
Arte Moderno,$25.000,,,https://kimunaustral.cl/producto/arte-moderno/
Azul,$35.000,,,https://kimunaustral.cl/producto/azul/
Box n’balls,$26.000,,,https://kimunaustral.cl/producto/box-nballs/
Break the Code,$20.000,,,https://kimunaustral.cl/producto/break-the-code/
Carrera Carroña,$13.000,,,https://kimunaustral.cl/producto/carrera-carrona/
CATAN,$34.000,,,https://kimunaustral.cl/producto/catan/
Código secreto dúo,$21.000,,,https://kimunaustral.cl/producto/codigo-secreto-duo/
Código secreto imágenes,$21.000,,,https://kimunaustral.cl/producto/codigo-secreto-imagenes/
Concept,$30.000,,,https://kimunaustral.cl/producto/908/
Cortex 2,$14.000,,,https://kimunaustral.cl/producto/cortex-2/
Cortex Plus,$25.000,,,https://kimunaustral.cl/producto/cortex-plus/
Desamparados- Stalingrado,$25.000,,,https://kimunaustral.cl/producto/desamparados-stalingrado/
Dimpl,$12.000,,,https://kimunaustral.cl/producto/dimpl/
Dimpl Digits,$17.000,,,https://kimunaustral.cl/producto/dimpl-digits/
Dimpl Duo,$22.000,,,https://kimunaustral.cl/producto/dimpl-duo/
Dixit,$30.000,,,https://kimunaustral.cl/producto/dixit/
Dixit daydreams,$20.000,,,https://kimunaustral.cl/producto/dixit-daydreams/
Dixit Harmonies,$20.000,,,https://kimunaustral.cl/producto/dixit-harmonies/
Dixit journey,$20.000,,,https://kimunaustral.cl/producto/dixit-journey/
Dixit Memories,$20.000,,,https://kimunaustral.cl/producto/dixit-memories/
Dixit Origins,$20.000,,,https://kimunaustral.cl/producto/dixit-origins/
Dixit Revelation,$20.000,,,https://kimunaustral.cl/producto/dixit-revelation/
Dobble 31 minutos,$16.000,,,https://kimunaustral.cl/producto/dobble-31-minutos/
Dobble formas y números,$15.000,$12.000,Oferta,https://kimunaustral.cl/producto/dobble-formas-y-numeros/
Dobble Harry Potter,$16.000,$13.000,Oferta,https://kimunaustral.cl/producto/dobble-harry-potter/
Dobble Impermeable,$16.000,,,https://kimunaustral.cl/producto/dobble-impermeable/
Dobble Mandalorian,$16.000,$13.000,Oferta,https://kimunaustral.cl/producto/dobble-mandalorian/
Dobble Marvel Emojis,$16.000,$13.000,Oferta,https://kimunaustral.cl/producto/dobble-marvel-emojis/
Dobble Stitch,$16.000,$13.000,Oferta,https://kimunaustral.cl/producto/dobble-stitch/
Doggy Style,$15.000,,,https://kimunaustral.cl/producto/doggy-style/
Draftosaurus Aéreo,$12.000,,,https://kimunaustral.cl/producto/draftosaurus-aereo/
Draftosaurus Marina,$12.000,,,https://kimunaustral.cl/producto/draftosaurus-marina/
El Monstruo de los colores,$30.000,,,https://kimunaustral.cl/producto/el-monstruo-de-los-colores/
El Sheriff de Nottingham,$40.000,,,https://kimunaustral.cl/producto/el-sheriff-de-nottingham/
Escape Tales Sin Memoria,$25.000,,,https://kimunaustral.cl/producto/escape-tales-sin-memoria/
Exploding Kittens,$22.000,,,https://kimunaustral.cl/producto/exploding-kittens/
Fantasma Blitz,$13.000,,,https://kimunaustral.cl/producto/fantasma-blitz/
Fantasma Blitz Mini,$8.000,,,https://kimunaustral.cl/producto/fantasma-blitz-mini/
