title,original_price,current_price,stock_status,url
Catan,$34.990,,,https://www.lafortalezapuq.cl/catan
King of Tokyo 2da Edición,$32.990,,,https://www.lafortalezapuq.cl/king-of-tokyo-2da
The White Castle,$31.990,,,https://www.lafortalezapuq.cl/thewhitecastle
King of Tokyo Origins,$29.990,,,https://www.lafortalezapuq.cl/king-of-tokyo-origins
Copérnico,$23.990,,,https://www.lafortalezapuq.cl/copernico
Corduba 27 a.C.,$95.990,,,https://www.lafortalezapuq.cl/corduba-27-ac
Colt Express,$32.990,,,https://www.lafortalezapuq.cl/colt-express
Kingdomino 2da Edición,$21.990,,,https://www.lafortalezapuq.cl/kingdomino-2da-edicion
Ubongo,$34.990,,,https://www.lafortalezapuq.cl/ubongo
Alhambra,$38.990,,,https://www.lafortalezapuq.cl/alhambra
Catan Junior,$30.990,,,https://www.lafortalezapuq.cl/catan-junior
Polilla Tramposa,$15.990,,,https://www.lafortalezapuq.cl/la-polilla-tramposa
El Abejorro Tramposo,$14.990,,,https://www.lafortalezapuq.cl/abejorro-tramposo
La Tripulacion,$19.990,,,https://www.lafortalezapuq.cl/la-tripulacion
Sushi Go Party,$22.990,,,https://www.lafortalezapuq.cl/sushi-go-party
Silk,$22.990,,,https://www.lafortalezapuq.cl/silk
Chakra,$26.990,,,https://www.lafortalezapuq.cl/chakra
Chakra exp: Ying Yang,$14.990,$10.493,,https://www.lafortalezapuq.cl/chakra-exp-ying-yang
Cooper Island,$55.990,$44.792,,https://www.lafortalezapuq.cl/cooper-island
Catan exp. Mercaderes y Barbaros,$35.990,,,https://www.lafortalezapuq.cl/catan-exp-mercaderes-y-barbaros
Four Gardens,$50.990,$25.495,,https://www.lafortalezapuq.cl/four-gardens
Shamans,$28.990,$23.192,,https://www.lafortalezapuq.cl/shamans
Azul: El jardín de la Reina,$44.990,$26.994,,https://www.lafortalezapuq.cl/azul-jardin-de-la-reina
Praga Caput Regni,$62.990,$44.093,,https://www.lafortalezapuq.cl/praga-caput-regni
Suburbia,$62.990,$44.093,,https://www.lafortalezapuq.cl/suburbia
Dobble Clásico,$14.990,,,https://www.lafortalezapuq.cl/dobble
Exploding Kittens,$20.990,,,https://www.lafortalezapuq.cl/exploding-kittens
Hanabi (nueva versión),$12.990,,,https://www.lafortalezapuq.cl/hanabi
Jaipur,$19.990,,,https://www.lafortalezapuq.cl/jaipur
Belfort,$59.990,$41.993,,https://www.lafortalezapuq.cl/belfort
Yokohama,$56.990,,,https://www.lafortalezapuq.cl/yokohama
Saqueadores de Midgard,$50.990,$40.792,,https://www.lafortalezapuq.cl/saqueadores-de-midgard
Jungle Speed ECO,$17.990,,,https://www.lafortalezapuq.cl/jungle-speed-eco
7 Wonders Duel,$26.990,,,https://www.lafortalezapuq.cl/7-wonders-duel
7 Wonders exp. Armada - Nueva Edicion,$24.990,,,https://www.lafortalezapuq.cl/7-wonders-exp-armada
7 Wonders exp. Cities - Nueva Edicion,$24.990,,,https://www.lafortalezapuq.cl/7-wonders-exp-cities
Azul: Vitrales de Sintra,$39.990,,,https://www.lafortalezapuq.cl/azul-vitrales-de-sintra
Love Letter (Eco Box),$14.990,,,https://www.lafortalezapuq.cl/love-letter
Panic Mansion,$27.990,,,https://www.lafortalezapuq.cl/panic-mansion
Taco Gato Cabra Queso Pizza,$12.990,,,https://www.lafortalezapuq.cl/taco-gato-cabra-queso-pizza
Cortex Challenge Original,$14.990,,,https://www.lafortalezapuq.cl/cortex-challenge-original
Cortex Challenge 2,$14.990,,,https://www.lafortalezapuq.cl/cortex-challenge-2
Cortex Challenge 3,$14.990,,,https://www.lafortalezapuq.cl/cortex-challenge-3
Aventureros al Tren: América,$44.990,,,https://www.lafortalezapuq.cl/ticket-to-ride
Aventureros al Tren: Europa,$44.990,,,https://www.lafortalezapuq.cl/ticket-to-ride-europa
Aventureros al Tren: El Corazón de Africa,$26.990,,,https://www.lafortalezapuq.cl/ticket-to-ride-africa
Aventureros al Tren: Asia,$37.990,,,https://www.lafortalezapuq.cl/ticket-to-ride-asia
Aventureros al Tren: Francia,$34.990,$27.992,,https://www.lafortalezapuq.cl/ticket-to-ride-france
Aventureros al Tren: Países Bajos,$26.990,,,https://www.lafortalezapuq.cl/ticket-to-ride-holanda
Aventureros al Tren: India y Suiza,$31.990,$25.592,,https://www.lafortalezapuq.cl/ticket-to-ride-india
Aventureros al Tren: La Vuelta al mundo,$79.990,,,https://www.lafortalezapuq.cl/ticket-to-ride-rails-and-sails
Aventureros al Tren: United Kingdom y Pennsylvania,$37.990,$30.392,,https://www.lafortalezapuq.cl/ticket-to-ride-united-kingdom
Cacao,$25.990,,,https://www.lafortalezapuq.cl/cacao
Catan: Juego de Cartas,$10.990,,,https://www.lafortalezapuq.cl/catan-juego-de-cartas
Barrio,$15.990,,,https://www.lafortalezapuq.cl/barrio
Century: Maravillas de Oriente,$37.990,$22.794,,https://www.lafortalezapuq.cl/century-maravillas-de-oriente
Century: Un Nuevo Mundo,$37.990,$22.794,,https://www.lafortalezapuq.cl/preventa-century-un-nuevo-mundo
Dominion,$41.990,,,https://www.lafortalezapuq.cl/dominion
Fast Food Fear,$15.990,,,https://www.lafortalezapuq.cl/fast-food-fear
Fauna,$39.990,,,https://www.lafortalezapuq.cl/fauna
King of New York,$39.990,,,https://www.lafortalezapuq.cl/king-of-new-york-1
La Escalera Encantada,$29.990,,,https://www.lafortalezapuq.cl/la-escalera-encantada
Virus,$19.990,,,https://www.lafortalezapuq.cl/virus
Alta Tension Reenergizado,$39.990,,,https://www.lafortalezapuq.cl/alta-tension-reenergizado
Bang!,$21.990,,,https://www.lafortalezapuq.cl/bang-espanol
Munchkin,$25.990,,,https://www.lafortalezapuq.cl/munchkin
Cortex Challenge Kids,$14.990,,,https://www.lafortalezapuq.cl/cortex-challenge-kids
Cortex Challenge kids 2,$14.990,,,https://www.lafortalezapuq.cl/cortex-challenge-kids-2
Fairy Tile,$25.990,,,https://www.lafortalezapuq.cl/fairy-tile
Illusion,$12.990,,,https://www.lafortalezapuq.cl/illusion
La Dama y el Tigre,$12.990,$9.093,,https://www.lafortalezapuq.cl/la-dama-y-el-tigre
