title,original_price,current_price,stock_status,url
¡A Prueba de Retos!,$29.990,,,https://www.ludipuerto.cl/producto/a-prueba-de-retos/
¡Aventureros al Tren! Aurora Boreal,$44.990,,Agotado,https://www.ludipuerto.cl/producto/aventureros-al-tren-aurora-boreal/
¡Matanga!,$12.990,,Agotado,https://www.ludipuerto.cl/producto/matanga/
¡No Gracias!,$12.990,,Agotado,https://www.ludipuerto.cl/producto/no-gracias/
¿Quién Fue?,$12.990,,Agotado,https://www.ludipuerto.cl/producto/quien-fue/
1000 km,$25.990,,Agotado,https://www.ludipuerto.cl/producto/1000-km/
5 Minute Dungeon,$29.990,,Agotado,https://www.ludipuerto.cl/producto/5-minute-dungeon/
7 Wonders – Nueva Edición,$47.990,,,https://www.ludipuerto.cl/producto/7-wonders-nueva-edicion/
7 Wonders Architects,$39.990,,Agotado,https://www.ludipuerto.cl/producto/7-wonders-architects/
7 Wonders Duel,$26.990,,,https://www.ludipuerto.cl/producto/7-wonders-duel/
7 WONDERS DUEL – LOTR DUELO POR LA TIERRA MEDIA,$29.990,,,https://www.ludipuerto.cl/producto/7-wonders-duel-lotr-duelo-por-la-tierra-media/
Abalone Go,$12.990,,,https://www.ludipuerto.cl/producto/abalone-go/
Akropolis,$24.990,,,https://www.ludipuerto.cl/producto/akropolis/
ALAKABLAST,$12.990,$10.990,Oferta,https://www.ludipuerto.cl/producto/alakablast/
ALTIPLANO,$48.990,,Agotado,https://www.ludipuerto.cl/producto/altiplano/
AMIGOS DE MIERDA,$15.990,,,https://www.ludipuerto.cl/producto/amigos-de-mierda/
AMIGOS DE MIERDA 2,$15.990,,,https://www.ludipuerto.cl/producto/amigos-de-mierda-2/
Anarchy Pancakes,$15.990,,,https://www.ludipuerto.cl/producto/anarchy-pancakes/
Anda a Lavar,$15.990,,Agotado,https://www.ludipuerto.cl/producto/anda-a-lavar/
ARKHAM HORROR RPG STARTER SET EL ABISMO INSACIABLE,$34.990,,,https://www.ludipuerto.cl/producto/arkham-horror-rpg-starter-set-el-abismo-insaciable/
Arkham Horror: Hora Final,$37.990,,Agotado,https://www.ludipuerto.cl/producto/arkham-horror-hora-final/
Art Society,$44.990,,Agotado,https://www.ludipuerto.cl/producto/art-society/
Arte Moderno,$24.990,,,https://www.ludipuerto.cl/producto/arte-moderno/
Aventureros al Tren Cambio de Agujas,$24.990,$22.990,Agotado,https://www.ludipuerto.cl/producto/aventureros-al-tren-cambio-de-agujas/
Aventureros al Tren Norte America,$44.990,,,https://www.ludipuerto.cl/producto/aventureros-al-tren-norte-america/
