title,original_price,current_price,stock_status,url
Nacidos de la Bruma,$41.990,,Agotado,https://ludopalooza.cl/products/nacidos-de-la-bruma
Nacidos de la Bruma Fichas de Metal (PREVENTA),$15.990,,Agotado,https://ludopalooza.cl/products/nacidos-de-la-bruma-fichas-de-metal
Luthier,$79.990,$78.990,Agotado,https://ludopalooza.cl/products/luthier
The Gang,$14.990,,Agotado,https://ludopalooza.cl/products/the-gang
Catan,$34.990,,,https://ludopalooza.cl/products/catan
"Señor de los anillos ""El Destino de la Comunidad del Anillo""",$69.990,$66.990,Oferta,https://ludopalooza.cl/products/senor-de-los-anillos-el-destino-de-la-comunidad-del-anillo
Clank Catacumbas,$64.990,$62.990,Oferta,https://ludopalooza.cl/products/clank-catacumbas
Party Panda Pirates,$34.990,$30.990,Oferta,https://ludopalooza.cl/products/party-panda-pirates
Perritos,$15.990,$14.990,Oferta,https://ludopalooza.cl/products/perritos
Formula 31,$19.990,,Agotado,https://ludopalooza.cl/products/formula-31
No Puedo Parar,$19.990,,,https://ludopalooza.cl/products/no-puedo-parar
Lacrimosa,$64.990,$55.990,Agotado,https://ludopalooza.cl/products/lacrimosa
Coffee Rush,$35.990,,Agotado,https://ludopalooza.cl/products/coffee-rush-1
Hues and Cues,$29.990,,,https://ludopalooza.cl/products/hues-and-cues
Carcassonne,$29.990,$26.990,Oferta,https://ludopalooza.cl/products/carcassonne
Dixit,$29.990,,,https://ludopalooza.cl/products/dixit
Harmonies,$32.990,$30.990,Oferta,https://ludopalooza.cl/products/harmonies
Luthier Carta Adicional (Español),$7.990,,,https://ludopalooza.cl/products/luthier-carta-adicional-espanol
Kingdomino 2º Edición,$21.990,,,https://ludopalooza.cl/products/kingdomino-2%C2%BA-edicion
PRONTO Las Ruinas Perdidas de Arnak – Cofre de Aventuras,$0,,Agotado,https://ludopalooza.cl/products/las-ruinas-perdidas-de-arnak-cofre-de-aventuras
Paleo,$44.990,$41.990,Oferta,https://ludopalooza.cl/products/paleo-1
Cosas en Circulo (PREVENTA),$24.990,$22.990,Oferta,https://ludopalooza.cl/products/cosas-en-circulo
Skyrise (Español),$74.990,$70.990,Oferta,https://ludopalooza.cl/products/skyrise-espanol
Cascadia,$51.990,$49.990,Oferta,https://ludopalooza.cl/products/cascadia
Caza Bombas,$44.990,$42.990,Oferta,https://ludopalooza.cl/products/caza-bombas-1
Hutan,$39.990,$36.990,Oferta,https://ludopalooza.cl/products/hutan
Ilan,$21.990,,,https://ludopalooza.cl/products/ilan
Palabra de Pirata,$19.990,$17.990,Oferta,https://ludopalooza.cl/products/palabra-de-pirata
Trio,$15.990,,,https://ludopalooza.cl/products/trio
Sushi Go! Gira y Come Dim Sum,$24.990,,Agotado,https://ludopalooza.cl/products/sushi-go-gira-y-come-dim-sum
Terraforming Mars,$64.990,,Agotado,https://ludopalooza.cl/products/terraforming-mars
The Red Cathedral,$26.990,,,https://ludopalooza.cl/products/red-cathedral
Dixit Odyssey,$29.990,,,https://ludopalooza.cl/products/dixit-odyssey
Splendor Duel,$21.990,,Agotado,https://ludopalooza.cl/products/splendor-duel
La Escalera Encantada,$28.990,,,https://ludopalooza.cl/products/la-escalera-encantada
Splendor,$34.990,,,https://ludopalooza.cl/products/splendor
Criaturas de las Sombras,$34.990,,Agotado,https://ludopalooza.cl/products/criaturas-de-las-sombras
Telestrations,$29.990,,,https://ludopalooza.cl/products/telestrations-1
El Pantano de Feya,$34.990,,,https://ludopalooza.cl/products/el-pantano-de-feya
Catan Edición de Viaje,$32.990,,,https://ludopalooza.cl/products/catan-edicion-de-viaje
Bajo las Hojas,$24.990,,,https://ludopalooza.cl/products/bajo-las-hojas
Arte Moderno,$24.000,,,https://ludopalooza.cl/products/arte-moderno
Bitoku,$62.990,,,https://ludopalooza.cl/products/bitoku
El Hobbit: Historia de una Ida y Vuelta,$29.990,,Agotado,https://ludopalooza.cl/products/el-hobbit-historia-de-una-ida-y-vuelta
Revive,$74.990,,,https://ludopalooza.cl/products/revive
7 Wonders,$48.000,$44.000,Agotado,https://ludopalooza.cl/products/7-wonders
Fossilis,$64.990,$44.990,Oferta,https://ludopalooza.cl/products/fossilis
Wonder Woods,$24.990,,,https://ludopalooza.cl/products/wonder-woods
