title,original_price,current_price,stock_status,url
La Feria de las Pulgas de Titirilquén,$14.990,,Agotado,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/5660-la-feria-de-las-pulgas-de-titirilquen.html
Dominó de Aves,$6.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8569-domino-de-aves.html
Banana Azul,$15.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8364-banana-azul.html
Taco Gatito Pizza,$11.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7361-taco-gatito-pizza.html
Kiénpaké,$21.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7638-kienpake.html
La Torre Encantada,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/6390-la-torre-encantada.html
Exit: El Castillo Prohibido,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/1372-exit-el-castillo-prohibido.html
Exit: Regreso a la Cabaña Abandonada,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7679-exit-regreso-a-la-cabana-abandonada.html
Exit: La Isla Olvidada,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/1520-exit-la-isla-olvidada.html
Saboteur,$13.000,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/2371-saboteur.html
¿Quién Fue? - Who Did It? - Segunda Edición,$12.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7313-quien-fue-who-did-it-segunda-edicion.html
Bandido,$12.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/6886-bandido.html
Draftosaurus,$19.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/3573-draftosaurus.html
¡Otra Vez Sopa!,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8421-otra-vez-sopa.html
10.000 Kilómetros de Juego - Cartas de viaje,$9.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8566-10000-kilometros-de-juego-cartas-de-viaje.html
Embarcadero,$59.990,$41.993,Oferta,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/4861-embarcadero.html
Exit: El Tesoro Hundido,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/2674-exit-el-tesoro-hundido.html
Exit: El Laboratorio Secreto,$14.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/949-exit-el-laboratorio-secreto.html
Squatch & Seek,$12.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7955-squatch-seek.html
Score 5,$12.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7453-score-5.html
Aventureros y el Medallón de Ra,$14.000,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8313-aventureros-y-el-medallon-de-ra.html
Link City,$21.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/8218-link-city.html
La Dama y El Tigre,$13.000,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/1942-la-dama-y-el-tigre.html
Venturesome,$9.990,,,https://www.magicsur.cl/juegos-de-mesa-magicsur-chile/7926-venturesome.html
