title,original_price,current_price,stock_status,url
¡Aventureros al Tren! America,$44.990,,,https://mangaigames.cl/producto/aventureros-al-tren-america/
¡Otra vez sopa!,$14.990,,,https://mangaigames.cl/producto/otra-vez-sopa/
¡Toma 6!: Edición 30 Aniversario,$21.990,$19.990,Oferta,https://mangaigames.cl/producto/toma-6-edicion-30-aniversario/
¿Quién Fue?,$12.990,,,https://mangaigames.cl/producto/quien-fue/
[Preventa] Cthulhu: Death May Die,$119.990,,,https://mangaigames.cl/producto/cthulhu-death-may-die/
5 Minute One Piece,$31.990,,,https://mangaigames.cl/producto/5-minute-one-piece/
7 Wonders – Nueva Edición,$47.990,,,https://mangaigames.cl/producto/7-wonders/
A Fake Artist Goes to New York,$22.990,,,https://mangaigames.cl/producto/a-fake-artist-goes-to-new-york/
Adopta un callejero,$16.990,$14.990,Oferta,https://mangaigames.cl/producto/adopta-un-callejero/
Alebrijes,$14.990,,,https://mangaigames.cl/producto/alebrijes/
Amigos de Mierda,$13.990,,,https://mangaigames.cl/producto/amigos-de-mierda/
Amigos de Mierda 2,$13.990,,,https://mangaigames.cl/producto/amigos-de-mierda-2/
Anda a Lavar,$15.990,$14.500,Oferta,https://mangaigames.cl/producto/anda-a-lavar/
Antofagasta 1872,$10.900,$7.990,Agotado,https://mangaigames.cl/producto/antofagasta-1872/
Arte Moderno – 31 minutos,$24.990,,,https://mangaigames.cl/producto/arte-moderno/
Azul Base,$39.990,,,https://mangaigames.cl/producto/azul-base/
Azul Duel,$26.990,,,https://mangaigames.cl/producto/azul-duel/
Bandida,$12.990,,,https://mangaigames.cl/producto/bandida/
Bandido,$12.990,,,https://mangaigames.cl/producto/bandido/
Barrio,$15.990,$13.990,Oferta,https://mangaigames.cl/producto/barrio/
Big Shot,$30.990,,Agotado,https://mangaigames.cl/producto/big-shot/
Blockits,$14.990,,,https://mangaigames.cl/producto/blockits/
Bloodborne el juego de tablero: El Bosque Prohibido,$59.990,,Agotado,https://mangaigames.cl/producto/bloodborne-el-bosque-prohibido/
Bloodborne el juego de tablero: El Castillo Olvidado  de Cainhurst,$59.990,,Agotado,https://mangaigames.cl/producto/bloodborne-el-castillo-olvidado-de-cainhurst/
Bloodborne el juego de tablero: El Sueño del Cazador,$39.990,,,https://mangaigames.cl/producto/bloodborne-el-sueno-del-azador/
