title,original_price,current_price,stock_status,url
Ajedrez de Madera Premium Grande Plegable,$54.990,,,https://piedrabruja.cl/products/ajedrez-de-madera-premium-grande-plegable
Ajedrez Madera Magnético y Plegable,$34.990,,,https://piedrabruja.cl/products/ajedrez-madera-magnetico-y-plegable
Ajedrez Magnético Blanco/Negro,$17.990,,,https://piedrabruja.cl/products/ajedrez-magnetico-blanco-negro
Cubo Rubix,$5.490,,,https://piedrabruja.cl/products/cubo-rubix
Torremanía,$7.990,,,https://piedrabruja.cl/products/torremania
Mikado,$3.990,,,https://piedrabruja.cl/products/mikado
Dominó Clásico,$6.990,,,https://piedrabruja.cl/products/domino-clasico
Tablero Chino,$6.990,,,https://piedrabruja.cl/products/tablero-chino
Naipes Españoles,$2.490,,,https://piedrabruja.cl/products/naipes-espanoles
Juego de 2 Naipes,$3.990,,,https://piedrabruja.cl/products/juego-de-2-naipes
Tangram,$6.990,,,https://piedrabruja.cl/products/tangram
Ruminó,$6.990,,,https://piedrabruja.cl/products/rumino
Solitario,$3.990,,,https://piedrabruja.cl/products/solitario
Ojos de Lince,$7.990,,,https://piedrabruja.cl/products/ojos-de-lince
Ajedrez,$7.990,,,https://piedrabruja.cl/products/ajedrez
Damas Clásicas,$6.990,,,https://piedrabruja.cl/products/damas-clasicas
Salva al Pingüino (Save Penguins),$8.990,,,https://piedrabruja.cl/products/juego-de-mesa-salva-al-pinguino-rompe-el-hielo
Basta 2.0 - Juego de Palabras,$12.990,,,https://piedrabruja.cl/products/juego-de-mesa-basta-2-0-electronico
Conecta 4,$16.990,,,https://piedrabruja.cl/products/conecta-4
Barbecubes Veggie,$11.990,,,https://piedrabruja.cl/products/barbecubes-veggie
Dominion - Intriga II,$34.990,,,https://piedrabruja.cl/products/dominion-intriga-ii
Wingspan,$64.990,,,https://piedrabruja.cl/products/wingspan
Carcassonne - 2a Edición (Bilingue),$29.990,,,https://piedrabruja.cl/products/carcassonne-2a-edicion-bilingue
Epic Encounters - Glade of the Evil Oak,$52.990,,,https://piedrabruja.cl/products/epic-encounters-glade-of-the-evil-oak
Dixit - Kids,$24.990,,,https://piedrabruja.cl/products/dixit-kids
Cereal Killer,$12.990,,,https://piedrabruja.cl/products/cereal-killer
