title,original_price,current_price,stock_status,url
Manual Del Archivo De Las...,$ 55.000,,,https://www.planetaloz.cl/otros-juegos/9872-manual-del-archivo-de-las-tormentas.html
Pueblo,$ 43.000,,,https://www.planetaloz.cl/juegos-de-mesa/9870-pueblo.html
Mineros del Imperio,$ 38.000,,,https://www.planetaloz.cl/juegos-de-mesa/9869-mineros-del-imperio.html
Tantrix - Siempre Conectado,$ 30.000,,,https://www.planetaloz.cl/juegos-de-mesa/9868-tantrix-siempre-conectado.html
Spring,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9855-spring.html
Monopoly - Edición de Viaje,$ 8.000,,,https://www.planetaloz.cl/juegos-de-mesa/9853-monopoly-edicion-de-viaje.html
Colour Festival,$ 16.000,,,https://www.planetaloz.cl/juegos-de-mesa/9852-colour-festival.html
Exit - Aventuras de Catan,$ 16.000,,,https://www.planetaloz.cl/juegos-de-mesa/9838-exit-aventuras-de-catan.html
UNO - Toy Story 5,$ 8.000,,,https://www.planetaloz.cl/juegos-de-mesa/9833-uno-toy-story-5.html
UNO - Masters of the Universe,$ 8.000,,,https://www.planetaloz.cl/juegos-de-mesa/9832-uno-masters-of-the-universe.html
Nutrias,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9827-nutrias.html
JinxO,$ 25.000,$ 22.500,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9824-jinxo.html
Spooky Tower,$ 22.000,,,https://www.planetaloz.cl/juegos-de-mesa/9823-spooky-tower.html
Dobble - One Piece,$ 17.000,,,https://www.planetaloz.cl/juegos-de-mesa/9822-dobble-one-piece.html
Hitster Summer Party,$ 25.000,$ 22.500,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9820-hitster-summer-party.html
Phase 10,$ 8.000,$ 4.000,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9817-phase-10.html
Fiebre de Papas por la Noche,$ 16.000,,,https://www.planetaloz.cl/juegos-de-mesa/9815-fiebre-de-papas-por-la-noche.html
Unlock! Miniaventuras - La...,$ 8.000,,,https://www.planetaloz.cl/juegos-de-mesa/9805-unlock-miniaventuras-la-escalada.html
Monopoly,$ 23.000,,,https://www.planetaloz.cl/juegos-de-mesa/9804-monopoly-.html
Cosas En Círculos + Promo,$ 26.000,,,https://www.planetaloz.cl/juegos-de-mesa/9803-cosas-en-circulos-promo.html
MindBug King of Tokio,$ 30.000,,,https://www.planetaloz.cl/juegos-de-mesa/9799-mindbug-king-of-tokio.html
Kado,$ 16.000,$ 13.600,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9798-kado.html
Exit - Conspiración en Venecia,$ 15.000,,,https://www.planetaloz.cl/juegos-de-mesa/9796-exit-conspiracion-en-venecia.html
Skyrise,$ 75.000,,,https://www.planetaloz.cl/juegos-de-mesa/9795-skyrise.html
Monopoly Deal - FIFA World Cup,$ 13.000,,,https://www.planetaloz.cl/juegos-de-mesa/9793-monopoly-deal-fifa-world-cup.html
Crazy Clack,$ 22.000,,,https://www.planetaloz.cl/juegos-de-mesa/9792-crazy-clack.html
Wanted Stormtrooper,$ 11.000,,,https://www.planetaloz.cl/juegos-de-mesa/9790-wanted-stormtrooper.html
Scrawl,$ 25.000,,,https://www.planetaloz.cl/juegos-de-mesa/9789-scrawl.html
Quick Quack,$ 18.000,,,https://www.planetaloz.cl/juegos-de-mesa/9788-quick-quack.html
P.A.P.A. (Preguntas...,$ 25.000,,,https://www.planetaloz.cl/juegos-de-mesa/9787-papa-preguntas-absurdas-para-hacer-a-tus-amigos.html
Clank! - Catacumbas,$ 65.000,,,https://www.planetaloz.cl/juegos-de-mesa/9785-clank-catacumbas.html
Barbecubes - Veggie,$ 13.000,$ 11.700,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9784-barbecubes-veggie.html
HINT 2,$ 20.000,,,https://www.planetaloz.cl/juegos-de-mesa/9779-hint-2.html
Kingdomino 2da Edición,$ 22.000,,,https://www.planetaloz.cl/juegos-de-mesa/9771-kingdomino-2da-edicion.html
Perritos,$ 16.000,,,https://www.planetaloz.cl/juegos-de-mesa/9769-perritos.html
Dos Tipos de Personas,$ 25.000,$ 22.500,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9766-dos-tipos-de-personas.html
Bloops,$ 12.000,$ 10.800,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9738-bloops.html
Burst,$ 10.000,$ 9.000,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9737-burst.html
Lealtad Cero,$ 23.000,,,https://www.planetaloz.cl/juegos-de-mesa/9735-lealtad-cero.html
Pareja de Pacotilla,$ 23.000,,,https://www.planetaloz.cl/juegos-de-mesa/9734-pareja-de-pacotilla.html
Lucky Numbers,$ 26.000,$ 19.500,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9732-lucky-numbers.html
5 Minute One Piece,$ 32.000,$ 27.200,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9725-5-minute-one-piece.html
Forest Shuffle - Dartmoore,$ 33.000,$ 29.700,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9718-forest-shuffle-dartmoore.html
Heat - Terreno Inestable...,$ 30.000,,,https://www.planetaloz.cl/juegos-de-mesa/9717-heat-terreno-inestable-expansion.html
Ink,$ 40.000,,,https://www.planetaloz.cl/juegos-de-mesa/9699-ink.html
Carnuta,$ 20.000,,,https://www.planetaloz.cl/juegos-de-mesa/9698-carnuta.html
Rudolph,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9692-rudolph.html
El Huesped,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9691-el-huesped.html
Deep Dreams,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9690-deep-dreams.html
Nexos,$ 26.000,,,https://www.planetaloz.cl/juegos-de-mesa/9687-nexos.html
Bananya,$ 17.000,,,https://www.planetaloz.cl/juegos-de-mesa/9684-bananya.html
Memorice - Regiones de...,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9678-memorice-regiones-de-chile-la-puzzlera.html
Micro Macro - All In,$ 36.000,,,https://www.planetaloz.cl/juegos-de-mesa/9676-micro-macro-all-in.html
Kluster,$ 25.000,,,https://www.planetaloz.cl/juegos-de-mesa/9672-kluster.html
Uga Buga,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9671-uga-buga.html
Caca: El Juego,$ 12.000,$ 10.800,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9670-caca-el-juego.html
We Will Rock You,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9669-we-will-rock-you.html
Pichanga: Trivia de Fútbol,$ 20.000,,,https://www.planetaloz.cl/juegos-de-mesa/9668-pichanga-trivia-de-futbol.html
Palabra de Pirata + Promo,$ 20.000,,,https://www.planetaloz.cl/juegos-de-mesa/9666-palabra-de-pirata-promo.html
Catan - Mercaderes y...,$ 28.000,,,https://www.planetaloz.cl/juegos-de-mesa/9664-catan-mercaderes-y-barbaros-ampliacion-5-6-jugadores-nueva-edicion.html
"Challenge 3,2,1 Go! Words",$ 20.000,,,https://www.planetaloz.cl/juegos-de-mesa/9655-challenge-321-go-words.html
"Challenge 3,2,1 Go! Puzzle",$ 20.000,,,https://www.planetaloz.cl/juegos-de-mesa/9654-challenge-321-go-puzzle.html
Yokai Pagoda,$ 16.000,,,https://www.planetaloz.cl/juegos-de-mesa/9652-yokai-pagoda.html
Naipe Español N°40 - Fournier,$ 7.500,,,https://www.planetaloz.cl/juegos-de-mesa/9643-naipe-espanol-n40-fournier.html
Naipe Español N°12 - Fournier,$ 4.500,,,https://www.planetaloz.cl/juegos-de-mesa/9642-naipe-espanol-n12-fournier.html
Naipe Bicycle - Warcraft...,$ 14.000,$ 11.900,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9640-naipe-bicycle-warcraft-burning-crusade.html
Naipe Bicycle - Alice in...,$ 14.000,,,https://www.planetaloz.cl/juegos-de-mesa/9639-naipe-bicycle-alice-in-wonderland.html
Naipe Bicycle - Panda,$ 8.000,,,https://www.planetaloz.cl/juegos-de-mesa/9638-naipe-bicycle-panda.html
Naipe Bicycle - Spy x Family,$ 14.000,$ 11.900,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9636-naipe-bicycle-spy-x-family.html
Naipe Bicycle - Jujutsu Kaisen,$ 14.000,,,https://www.planetaloz.cl/juegos-de-mesa/9635-naipe-bicycle-jujutsu-kaisen.html
Naipe Bicycle - Coco,$ 14.000,,,https://www.planetaloz.cl/juegos-de-mesa/9634-naipe-bicycle-coco.html
Pollito vs Salchicha,$ 25.000,,,https://www.planetaloz.cl/juegos-de-mesa/9633-pollito-vs-salchicha.html
Master Dater,$ 25.000,,,https://www.planetaloz.cl/juegos-de-mesa/9632-master-dater.html
Calendario 365 Aventuras:...,$ 23.000,$ 16.100,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9600-calendario-365-aventuras-cthulu.html
Caza Bombas,$ 45.000,,,https://www.planetaloz.cl/juegos-de-mesa/9582-caza-bombas.html
Fantasma Blitz - ¡Feliz...,$ 11.000,,,https://www.planetaloz.cl/juegos-de-mesa/9580-fantasma-blitz-feliz-cumpleanos-feliz-aniversario.html
Academia Abstracta,$ 12.000,,,https://www.planetaloz.cl/juegos-de-mesa/9579-academia-abstracta.html
Las Dos Torres - El juego...,$ 22.000,,,https://www.planetaloz.cl/juegos-de-mesa/9577-las-dos-torres-el-juego-de-bazas.html
Dixit Kids,$ 25.000,,,https://www.planetaloz.cl/juegos-de-mesa/9576-dixit-kids.html
Junk Art Revolution,$ 40.000,,,https://www.planetaloz.cl/juegos-de-mesa/9574-junk-art-revolution.html
Garras en Juego,$ 15.000,,,https://www.planetaloz.cl/juegos-de-mesa/9573-garras-en-juego.html
Cat Between Us,$ 16.000,,,https://www.planetaloz.cl/juegos-de-mesa/9572-cat-between-us.html
Candy Land,$ 23.000,,,https://www.planetaloz.cl/juegos-de-mesa/9570-candy-land.html
Jardines de Bolsillo,$ 13.000,$ 11.700,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9564-jardines-de-bolsillo.html
Montaña Pingüino,$ 23.000,,,https://www.planetaloz.cl/juegos-de-mesa/9563-montana-pingueino.html
Memorice - Lugares de Chile,$ 17.000,$ 15.300,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9561-memorice-lugares-de-chile.html
Memorice - Lugares del Mundo,$ 15.000,$ 13.500,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9560-memorice-lugares-del-mundo.html
Batalla Magnética,$ 14.000,$ 10.500,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9557-batalla-magnetica.html
Vintage,$ 18.000,,,https://www.planetaloz.cl/juegos-de-mesa/9549-vintage.html
Despistas,$ 20.000,$ 15.000,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9533-despistas.html
Kingdomino Pack,$ 32.000,$ 27.200,Oferta,https://www.planetaloz.cl/juegos-de-mesa/9532-kingdomino-pack.html
Imperium: Horizontes,$ 55.000,,,https://www.planetaloz.cl/juegos-de-mesa/9531-imperium-horizontes.html
