title,original_price,current_price,stock_status,url
Mójate el potito,$14.990,,,https://playkingdom.cl/mojate-el-potito
Dixit Memories,$19.990,,Agotado,https://playkingdom.cl/dixit-memories
Dixit Quest,$19.990,,Agotado,https://playkingdom.cl/dixit-quest
Lacrimosa,$64.990,$51.990,Oferta,https://playkingdom.cl/lacrimosa
Catan: Puzles Lógicos,$32.990,$25.990,Oferta,https://playkingdom.cl/catan-puzles-logicos
Catan: ampliación 5-6 jugadores Mercaderes y Bárbaros,$24.990,$17.490,Oferta,https://playkingdom.cl/catan-ampliacion-5-6-jugadores-mercaderes-y-barbaros
Bitoku,$62.990,,,https://playkingdom.cl/bitoku
Cacao,$24.990,,,https://playkingdom.cl/cacao
PAPUA,$36.990,,,https://playkingdom.cl/papua
EX LIBRIS,$49.990,,,https://playkingdom.cl/ex-libris
Carcassonne: expansión Constructores y Comerciantes (2da edicion),$15.990,$10.990,Agotado,https://playkingdom.cl/carcassonne-expansion-constructores-y-comerciantes-2da-edicion
Carcassonne: expansión La Abadía y el Alcalde (2da edición),$14.990,,Agotado,https://playkingdom.cl/carcassonne-expansion-la-abadia-y-el-alcalde-2da-edicion
Carcassonne: Mercados y Puentes,$14.990,,Agotado,https://playkingdom.cl/carcassonne-mercados-y-puentes
Carcassonne: expansión Colinas y Ovejas,$14.990,,Agotado,https://playkingdom.cl/carcassonne-expansion-colinas-y-ovejas
TABERNAS DE VALFONDA,$44.990,,,https://playkingdom.cl/tabernas-de-valfonda
Luna Capital,$27.990,,,https://playkingdom.cl/luna-capital-2
Mariposas,$39.990,,,https://playkingdom.cl/mariposas
Century: Maravillas de Oriente,$34.990,$27.990,Agotado,https://playkingdom.cl/century-maravillas-de-oriente
Alhambra - Edicion Revisada,$33.990,,,https://playkingdom.cl/alhambra-edicion-revisada
Museum,$61.990,,,https://playkingdom.cl/museum
Moctezuma,$19.990,,,https://playkingdom.cl/moctezuma
Century: Un nuevo mundo,$34.990,,,https://playkingdom.cl/century-un-nuevo-mundo
Agricola Bosques y Cenegales,$32.990,,,https://playkingdom.cl/agricola-bosques-y-cenegales
6th Sense,$9.990,,,https://playkingdom.cl/6th-sense
Boonlake,$67.990,,,https://playkingdom.cl/boonlake
El imperio del César,$39.990,,,https://playkingdom.cl/el-imperio-del-cesar
YAK,$44.990,,,https://playkingdom.cl/yak
Calcetimonstruos,$29.990,,,https://playkingdom.cl/calcetimonstruos
