title,original_price,current_price,stock_status,url
ENTRADA PARA TORNEO CLASIFICATORIO CATAN 2024,$8.000,,Agotado,https://playlander.cl/producto/entrada-para-torneo-clasificatorio-catan-2024/
Dixit – Edición Disney,$33.990,,Agotado,https://playlander.cl/producto/dixit-edicion-disney/
NO GAME OVER,$16.990,,,https://playlander.cl/producto/no-game-over/
MÓJATE EL POTITO,$13.990,,,https://playlander.cl/producto/mojate-el-potito/
STAR WARS EL BORDE EXTERIOR: ASUNTOS PENDIENTES (EXPANSIÓN),$44.990,,Agotado,https://playlander.cl/producto/star-wars-el-borde-exterior-asuntos-pendientes-expansion/
CATAN CIUDADES Y CABALLEROS (EXPANSIÓN 5 – 6 JUGADORES),$21.990,,Agotado,https://playlander.cl/producto/catan-ciudades-y-caballeros-expansion-5-6-jugadores/
CATAN EDICIÓN DE VIAJE,$29.990,,,https://playlander.cl/producto/catan-edicion-de-viaje/
EXPLODING KITTENS RECETAS DEL DESASTRE,$29.990,,Agotado,https://playlander.cl/producto/exploding-kittens-recetas-del-desastre/
¡AVENTUREROS AL TREN! CAMBIO DE AGUJAS,$21.990,,,https://playlander.cl/producto/aventureros-al-tren-cambio-de-agujas/
¡AVENTUREROS AL TREN! POLONIA,$23.990,,,https://playlander.cl/producto/aventureros-al-tren-polonia/
¡AVENTUREROS AL TREN! SAN FRANCISCO,$19.990,,,https://playlander.cl/producto/aventureros-al-tren-san-francisco/
ZOMBICIDE GEAR UP,$29.990,,,https://playlander.cl/producto/zombicide-gear-up/
ZOMBICIDE SEGUNDA EDICIÓN TILES SET,$21.990,,,https://playlander.cl/producto/zombicide-segunda-edicion-tiles-set/
ZOMBICIDE GREEN HORDE,$109.990,$99.990,Agotado,https://playlander.cl/producto/zombicide-green-horde/
ZOMBICIDE THUNDERCATS PACK #1,$24.990,,,https://playlander.cl/producto/zombicide-thundercats-pack-1/
ZOMBICIDE THUNDERCATS PACK #2,$24.990,,,https://playlander.cl/producto/zombicide-thundercats-pack-2/
ZOMBICIDE THUNDERCATS PACK #3,$24.990,,,https://playlander.cl/producto/zombicide-thundercats-pack-3/
ZOMBICIDE SEGUNDA EDICIÓN ALL-OUT DICE,$10.990,,,https://playlander.cl/producto/zombicide-segunda-edicion-all-out-dice/
ZOMBICIDE SEGUNDA EDICIÓN SPECIAL BLACK & WHITE DICE,$19.990,,,https://playlander.cl/producto/zombicide-segunda-edicion-special-black-white-dice/
ZOMBICIDE DARK NIGHT METAL PACK #1,$24.990,,Agotado,https://playlander.cl/producto/zombicide-dark-night-metal-pack-1/
ZOMBICIDE DARK NIGHT METAL PACK #2,$24.990,,,https://playlander.cl/producto/zombicide-dark-night-metal-pack-2/
ZOMBICIDE DARK NIGHT METAL PACK #4,$24.990,,,https://playlander.cl/producto/zombicide-dark-night-metal-pack-4-2/
ZOMBICIDE DARK NIGHT METAL PACK #3,$24.990,,,https://playlander.cl/producto/zombicide-dark-night-metal-pack-4/
ZOMBICIDE DARK NIGHT METAL PACK #5,$24.990,,,https://playlander.cl/producto/zombicide-dark-night-metal-pack-5/
ZOMBICIDE: UNDEAD OR ALIVE,$99.990,,Agotado,https://playlander.cl/producto/zombicide-undead-or-alive/
TOUGH CALLS: DYSTOPIA – EXPANSIÓN EMERGENCIAS Y DESAFÍOS,$9.990,,,https://playlander.cl/producto/tough-calls-dystopia-expansion-emergencias-y-desafios/
THE GAME CARA A CARA,$10.990,,,https://playlander.cl/producto/the-game-cara-a-cara/
SIMPLICITY,$22.990,,,https://playlander.cl/producto/simplicity/
SABOTEUR,$10.990,,,https://playlander.cl/producto/saboteur/
MONSTER CHEF,$10.990,,,https://playlander.cl/producto/monster-chef/
MAREA ALTA,$10.990,,,https://playlander.cl/producto/marea-alta/
LOS ODIOSOS 7,$10.990,,Agotado,https://playlander.cl/producto/los-odiosos-7/
LINKO,$10.990,,,https://playlander.cl/producto/linko/
LLAMA,$10.990,,,https://playlander.cl/producto/llama/
IKI,$49.990,$45.990,Oferta,https://playlander.cl/producto/iki/
GANÍMEDES 2a EDICIÓN,$29.990,,Agotado,https://playlander.cl/producto/ganimedes/
CORRUPTIA: SEGUNDA VUELTA,$18.990,,,https://playlander.cl/producto/corruptia-segunda-vuelta/
CORRUPTIA,$21.990,,,https://playlander.cl/producto/corruptia/
CARRERA CARROÑA,$10.990,,,https://playlander.cl/producto/carrera-carrona/
AMAZONAS,$10.990,,,https://playlander.cl/producto/amazonas/
ALAKABLAST,$10.990,,,https://playlander.cl/producto/alakablast/
¡TOMA 6!,$9.990,,,https://playlander.cl/producto/toma-6/
7 WONDERS EDIFICE (EXPANSIÓN),$26.990,,,https://playlander.cl/producto/7-wonders-edifice-expansion/
DOBBLE A PRUEBA DE AGUA,$15.990,,,https://playlander.cl/producto/dobble-pixar-clone/
DOBBLE PIXAR,$15.990,,,https://playlander.cl/producto/dobble-pixar/
DOBBLE MARVEL EMOJI,$15.990,,,https://playlander.cl/producto/dobble-marvel-emoji/
PATCHWORK,$19.990,,,https://playlander.cl/producto/patchwork/
PATCHWORK SAN VALENTÍN,$19.990,,,https://playlander.cl/producto/patchwork-san-valentin/
COSMIC ENCOUNTER DUEL,$33.990,,,https://playlander.cl/producto/cosmic-encounter-duel/
EXPLODING KITTENS EDICIÓN 2 JUGADORES,$9.990,,,https://playlander.cl/producto/exploding-kittens-edicion-2-jugadores/
SPLENDOR DUEL,$22.990,,,https://playlander.cl/producto/splendor-duel/
CARCASSONNE 20 ANIVERSARIO,$30.990,,Agotado,https://playlander.cl/producto/carcassonne-20-aniversario/
NEOVILLE,$37.990,,,https://playlander.cl/producto/neoville/
EL ANSIA,$56.990,,,https://playlander.cl/producto/el-ansia/
TACO REVÉS CABRA QUESO PIZZA,$11.990,,Agotado,https://playlander.cl/producto/taco-reves-cabra-queso-pizza/
WINTER KINGDOM,$54.990,,,https://playlander.cl/producto/winter-kingdom/
