title,original_price,current_price,stock_status,url
Gunsen – La Batalla Por Toshi Ranbo,$59.990,$56.990,Oferta,https://revaruk.cl/producto/gunsen-battle-for-toshi-ranbo/
The Mandalorian Adventures – Consagrados al credo,$39.990,$37.990,Oferta,https://revaruk.cl/producto/the-mandalorian-adventures-consagrados-al-credo/
Pili Pili,$19.990,$17.990,Oferta,https://revaruk.cl/producto/pili-pili/
Jinxo,$24.990,$21.990,Oferta,https://revaruk.cl/producto/jinxo/
Zenith,$39.990,$37.990,Agotado,https://revaruk.cl/producto/zenith/
Flores Escarchadas,$27.990,$25.990,Oferta,https://revaruk.cl/producto/flores-escarchadas/
Marvel Champions – No Temeré Ningun Mal (Expansión),$44.990,$41.990,Oferta,https://revaruk.cl/producto/marvel-champions-no-temere-ningun-mal-expansion/
London,$42.990,$35.990,Agotado,https://revaruk.cl/producto/london/
Oltree,$62.990,$52.990,Agotado,https://revaruk.cl/producto/oltree/
Minos,$59.990,$47.990,Agotado,https://revaruk.cl/producto/minos/
Cthulhu: Death May Die,$119.990,,,https://revaruk.cl/producto/cthulhu-death-may-die/
Pagan : El Destino de Roanoke,$39.990,$33.990,Oferta,https://revaruk.cl/producto/pagan-el-destino-de-roanoke/
Exit: Aventuras de Catan,$15.990,$12.990,Oferta,https://revaruk.cl/producto/exit-aventuras-de-catan/
Compile,$19.990,$16.990,Oferta,https://revaruk.cl/producto/compile/
Twin It Japan,$14.990,,,https://revaruk.cl/producto/twin-it-japan/
Martes 13,$15.990,$13.990,Oferta,https://revaruk.cl/producto/martes-13/
Caper Europe,$44.990,$38.990,Oferta,https://revaruk.cl/producto/caper-europe/
Pulitzer,$69.990,$59.990,Oferta,https://revaruk.cl/producto/pulitzer/
Spectacular,$45.990,$41.990,Agotado,https://revaruk.cl/producto/spectacular/
La Gran Migración,$35.990,$32.990,Oferta,https://revaruk.cl/producto/la-gran-migracion/
Babylon,$79.990,$72.990,Oferta,https://revaruk.cl/producto/babylon/
King of Monster Island,$59.990,,Agotado,https://revaruk.cl/producto/king-of-monster-island/
Ace Of Spades – Llamada del Zombi (Expansión),$7.990,,,https://revaruk.cl/producto/ace-of-spades-llamada-del-zombi-expansion/
Trucos Trucados,$31.990,$27.990,Agotado,https://revaruk.cl/producto/trucos-trucados/
Paleo,$44.990,$36.990,Oferta,https://revaruk.cl/producto/paleo/
Star Wars The Deckbuilding Game – Refuerzos Rebeldes e Imperiales (Exp.),$34.990,$32.990,Oferta,https://revaruk.cl/producto/star-wars-the-deckbuilding-game-refuerzos-rebeldes-e-imperiales-exp/
Codex Naturalis (2a Edición),$19.990,$15.990,Oferta,https://revaruk.cl/producto/codex-naturalis-2a-edicion/
Lutier Carta Promocional,$7.990,,,https://revaruk.cl/producto/lutier-carta-promocional/
Wyrmspan : Academia de Dragones (Expansión),$31.990,$27.990,Oferta,https://revaruk.cl/producto/wyrmspan-academia-de-dragones-expansion/
Skull King Pack de Expansión,$14.990,$13.990,Agotado,https://revaruk.cl/producto/skull-king-pack-de-expansion/
Seti Agencias Espaciales (Expansión),$34.990,,Agotado,https://revaruk.cl/producto/seti-agencias-espaciales-expansion/
Jardines de Té,$52.990,$42.990,Oferta,https://revaruk.cl/producto/jardines-de-te/
Inferno,$65.990,$55.990,Agotado,https://revaruk.cl/producto/inferno/
Emberheart,$39.990,$36.990,Agotado,https://revaruk.cl/producto/emberheart/
El Bosque de los Espiritus,$31.990,$25.990,Oferta,https://revaruk.cl/producto/el-bosque-de-los-espiritus/
Unlock! Risky Adventures,$32.990,$29.990,Oferta,https://revaruk.cl/producto/unlock-risky-adventures/
Splendor Duel – Los Falsificadores (Expansión),$11.990,,,https://revaruk.cl/producto/splendor-duel-los-falsificadores-expansion/
Pack Here to Slay Expansiones,$25.980,$23.980,Agotado,https://revaruk.cl/producto/pack-here-to-slay-expansiones/
Here To Slay – Bárbaros y Druidas,$12.990,,Agotado,https://revaruk.cl/producto/here-to-slay-barbaros-y-druidas/
Here To Slay – Berserkers y Nigromantes,$12.990,,Agotado,https://revaruk.cl/producto/here-to-slay-berserkers-y-nigromantes/
Ace of Spades,$19.990,$17.990,Oferta,https://revaruk.cl/producto/ace-of-spades/
Pueblo,$42.990,$27.990,Agotado,https://revaruk.cl/producto/pueblo/
Gaia Project,$79.990,$59.990,Oferta,https://revaruk.cl/producto/gaia-project/
Listo Para Imprenta,$35.990,$27.990,Oferta,https://revaruk.cl/producto/listo-para-imprenta/
Pioneros de la Aviación,$44.990,$30.990,Oferta,https://revaruk.cl/producto/pioneros-de-la-aviacion/
Mineros del Imperio,$37.990,$26.990,Agotado,https://revaruk.cl/producto/mineros-del-imperio/
¡Aventureros al Tren! USA 1910 (Expansión),$18.990,$16.990,Oferta,https://revaruk.cl/producto/aventureros-al-tren-usa-1910-expansion/
Las Ruinas Perdidas de Arnak : Cofre de Aventuras,$84.990,,Agotado,https://revaruk.cl/producto/las-ruinas-perdidas-de-arnak-cofre-de-aventuras/
Nacidos de la Bruma Fichas de Metal,$15.990,,Agotado,https://revaruk.cl/producto/nacidos-de-la-bruma-fichas-de-metal/
Lutier,$79.990,,Agotado,https://revaruk.cl/producto/lutier/
MindBug : King of Tokyo,$29.990,$25.990,Oferta,https://revaruk.cl/producto/mindbug-king-of-tokyo/
Trailblazers Edición Viaje,$29.990,$25.990,Oferta,https://revaruk.cl/producto/trailblazers-edicion-viaje/
¡Aventureros al Tren! América (Nueva Edición),$47.990,$39.990,Oferta,https://revaruk.cl/producto/aventureros-al-tren-america-nueva-edicion/
Cascadia: Hitos (Expansión),$38.990,,,https://revaruk.cl/producto/cascadia-hitos-expansion/
Cascadia,$44.990,$38.990,Agotado,https://revaruk.cl/producto/cascadia/
Dorfromantik Sakura,$46.990,$38.990,Oferta,https://revaruk.cl/producto/dorfromantik-sakura/
Tic Tac Tumba,$19.990,,Agotado,https://revaruk.cl/producto/tic-tac-tumba/
Incómodos Invitados,$39.990,$32.990,Oferta,https://revaruk.cl/producto/incomodos-invitados/
One Piece Nakama – Amigos y Enemigos + Carta Promo,$25.990,$21.990,Oferta,https://revaruk.cl/producto/one-piece-nakama-amigos-y-enemigos/
La Resistencia : Avalon,$24.990,$19.990,Oferta,https://revaruk.cl/producto/la-resistencia-avalon/
Nacidos de la Bruma,$42.990,$36.990,Oferta,https://revaruk.cl/producto/nacidos-de-la-bruma/
Skyrise,$74.990,$52.990,Oferta,https://revaruk.cl/producto/skyrise/
Hutan,$39.990,$34.990,Oferta,https://revaruk.cl/producto/hutan/
Pegatinas,$31.990,$24.990,Oferta,https://revaruk.cl/producto/pegatinas/
The Gang,$14.990,,,https://revaruk.cl/producto/the-gang/
Party Panda Pirates,$34.990,$29.990,Oferta,https://revaruk.cl/producto/party-panda-pirates/
Zombicide (2da Edición),$109.990,$94.990,Oferta,https://revaruk.cl/producto/zombicide-2da-edicion/
Bloops,$11.990,$10.990,Oferta,https://revaruk.cl/producto/bloops/
Burst,$9.990,$8.990,Oferta,https://revaruk.cl/producto/burst/
Hint 2 : Formas y Sonidos,$19.990,$16.990,Oferta,https://revaruk.cl/producto/hint-2-formas-y-sonidos/
Hint (Nueva edición),$19.990,$17.990,Oferta,https://revaruk.cl/producto/hint-nueva-edicion/
