title,original_price,current_price,stock_status,url
Formula D: Exp.4 Baltimore/Buddh,$ 17.000,,,https://shivano.cl/juegos-de-mesa/395-formula-d.html
Wordsmith,$ 30.000,,,https://shivano.cl/juegos-de-mesa/2251-wordsmith.html
La Cultura de Chupilca,$ 16.000,,,https://shivano.cl/juegos-de-mesa/3112-la-cultura-de-chupilca.html
7 Wonders Nueva Edicion,$ 48.000,,,https://shivano.cl/juegos-de-mesa/14-7-wonders-nueva-edicion.html
7 Wonders Duel,$ 27.000,,,https://shivano.cl/juegos-de-mesa/15-7-wonders-duel.html
Catan,$ 35.000,,,https://shivano.cl/juegos-de-mesa/32-catan.html
Código Secreto: Imágenes,$ 25.000,,,https://shivano.cl/juegos-de-mesa/40-codigo-secreto-imagenes.html
Dixit Odyssey,$ 32.000,,,https://shivano.cl/juegos-de-mesa/48-dixit-odyssey.html
Dobble,$ 15.000,,,https://shivano.cl/juegos-de-mesa/49-dobble.html
Dobble: Harry Potter,$ 16.000,,,https://shivano.cl/juegos-de-mesa/51-dobble-harry-potter.html
Exploding Kittens,$ 22.000,,,https://shivano.cl/juegos-de-mesa/56-exploding-kittens.html
Exploding Kittens Imploding Kittens,$ 17.000,,,https://shivano.cl/juegos-de-mesa/57-exploding-kittens-imploding-kittens.html
Jungle Speed,$ 18.000,,,https://shivano.cl/juegos-de-mesa/68-jungle-speed.html
Kingdomino,$ 22.000,,,https://shivano.cl/juegos-de-mesa/75-kingdomino.html
Saboteur,$ 13.000,,,https://shivano.cl/juegos-de-mesa/103-saboteur.html
Splendor,$ 35.000,,,https://shivano.cl/juegos-de-mesa/107-splendor.html
Virus!,$ 20.000,,,https://shivano.cl/juegos-de-mesa/123-virus.html
"Catan: Navegantes, Ampliación 5-6",$ 27.000,,,https://shivano.cl/juegos-de-mesa/323-catan-navegantes-ampliacion-5-6.html
"Catan: Piratas y Exploradores, Ampliación 5-6 Jugadores",$ 27.000,,,https://shivano.cl/juegos-de-mesa/325-catan-piratas-y-exploradores-ampliacion-5-6-jugadores.html
Exit: El Tesoro Hundido,$ 15.000,,,https://shivano.cl/juegos-de-mesa/356-exit-cabana-abandonada.html
Exit: La Isla Olvidada,$ 15.000,,,https://shivano.cl/juegos-de-mesa/357-exit-cabana-abandonada.html
Cortex Challenge,$ 15.000,,,https://shivano.cl/juegos-de-mesa/400-cortex-challenge.html
Cortex Challenge 2,$ 15.000,,,https://shivano.cl/juegos-de-mesa/402-cortex-challenge-2.html
Just One,$ 23.000,,,https://shivano.cl/juegos-de-mesa/589-just-one.html
Imagine,$ 22.000,,,https://shivano.cl/juegos-de-mesa/890-imagine.html
La Polilla Tramposa,$ 16.000,,,https://shivano.cl/juegos-de-mesa/902-la-polilla-tramposa.html
Illusion,$ 13.000,,,https://shivano.cl/juegos-de-mesa/911-illusion.html
Cortex Challenge 3,$ 15.000,,,https://shivano.cl/juegos-de-mesa/968-cortex-challenge-3.html
Pequeños Grandes Mechs,$ 22.000,,,https://shivano.cl/juegos-de-mesa/989-pequenos-grandes-mechs.html
Llama,$ 13.000,,,https://shivano.cl/juegos-de-mesa/1117-llama.html
Fantasma Blitz,$ 16.000,,,https://shivano.cl/juegos-de-mesa/1130-fantasma-blitz.html
Mal Trago,$ 16.000,,,https://shivano.cl/juegos-de-mesa/1131-mal-trago.html
Doggy Style,$ 15.000,,,https://shivano.cl/juegos-de-mesa/1185-doggy-style.html
Unstable Unicorns,$ 22.000,,,https://shivano.cl/juegos-de-mesa/1438-unstable-unicorns.html
Yogi,$ 15.000,,,https://shivano.cl/juegos-de-mesa/1481-yogi.html
Taco Gato Cabra Queso Pizza,$ 12.000,,,https://shivano.cl/juegos-de-mesa/1521-taco-gato-cabra-queso-pizza.html
Exploding Kittens: Streaking Kittens,$ 8.000,,,https://shivano.cl/juegos-de-mesa/1542-exploding-kittens-streaking-kittens.html
Here to Slay,$ 25.000,,,https://shivano.cl/juegos-de-mesa/1656-here-to-slay.html
Marvel Champions: Quicksilver,$ 15.000,,,https://shivano.cl/juegos-de-mesa/1691-marvel-champions-quicksilver.html
Pistas Cruzadas,$ 17.000,,,https://shivano.cl/juegos-de-mesa/1808-pistas-cruzadas.html
Exit:  Robo en el Misisipi,$ 15.000,,,https://shivano.cl/juegos-de-mesa/1874-exit-robo-en-el-misisipi.html
Código Secreto: Duo,$ 22.000,,,https://shivano.cl/juegos-de-mesa/1875-codigo-secreto-duo.html
No Lo Testeamos Ni Un Poco,$ 15.000,,,https://shivano.cl/juegos-de-mesa/1955-no-lo-testeamos-ni-un-poco.html
Amigos de Mierda 2,$ 15.000,,,https://shivano.cl/juegos-de-mesa/1970-amigos-de-mierda-2.html
Telestrations,$ 30.000,,,https://shivano.cl/juegos-de-mesa/2021-telestrations.html
La Feria de las Pulgas de Titirilquen,$ 15.000,,,https://shivano.cl/juegos-de-mesa/2060-la-feria-de-las-pulgas-de-titirilquen.html
Chupilca Origen,$ 12.000,,,https://shivano.cl/juegos-de-mesa/2166-chupilca-origen.html
Chupilca: Charadas,$ 12.000,,,https://shivano.cl/juegos-de-mesa/2167-chupilca-charadas.html
Chupilca: Yo Nunca Hot,$ 12.000,,,https://shivano.cl/juegos-de-mesa/2168-chupilca-yo-nunca-hot.html
Curao' Volao' o Weón,$ 20.000,,,https://shivano.cl/juegos-de-mesa/2314-curao-volao-o-weon.html
Unstable Unicorns: Dragones,$ 13.000,,,https://shivano.cl/juegos-de-mesa/2317-unstable-unicorns-dragones.html
Throw Throw Avocado,$ 28.000,,,https://shivano.cl/juegos-de-mesa/2484-throw-throw-avocado.html
1000 Km,$ 25.000,,,https://shivano.cl/juegos-de-mesa/2485-1000-km.html
Scooby-Doo!: El juego de mesa,$ 60.000,,,https://shivano.cl/juegos-de-mesa/2719-scooby-doo-el-juego-de-mesa.html
Chupilca: La Palta Borracha,$ 12.000,,,https://shivano.cl/juegos-de-mesa/2742-chupilca-la-palta-borracha.html
Zombie Kittens,$ 21.000,,,https://shivano.cl/juegos-de-mesa/2778-zombie-kittens.html
Dobble Disney,$ 16.000,,,https://shivano.cl/juegos-de-mesa/2781-dobble-disney.html
Exit: El Señor de los Anillos,$ 15.000,,,https://shivano.cl/juegos-de-mesa/2796-exit-el-senor-de-los-anillos.html
Chupilca Love (Gay Love),$ 12.000,,,https://shivano.cl/juegos-de-mesa/3006-chupilca-love-gay-love.html
Criaturas de las Sombras,$ 35.000,,,https://shivano.cl/juegos-de-mesa/3178-criaturas-de-las-sombras.html
Exit: La Desaparición de Sherlock Holmes,$ 15.000,,,https://shivano.cl/juegos-de-mesa/3248-exit-la-desaparicion-de-sherlock-holmes.html
Tanxi,$ 35.000,,,https://shivano.cl/juegos-de-mesa/3273-tanxi.html
Little Tavern,$ 16.000,$ 13.000,Oferta,https://shivano.cl/juegos-de-mesa/3332-little-tavern.html
Timeline Twist,$ 17.000,,Agotado,https://shivano.cl/juegos-de-mesa/3333-timeline-twist.html
Timeline Twist: Pop Culture,$ 14.000,,Agotado,https://shivano.cl/juegos-de-mesa/3334-timeline-twist-pop-culture.html
SETUP,$ 23.000,,,https://shivano.cl/juegos-de-mesa/3340-setup.html
Splendor Duel,$ 23.000,,,https://shivano.cl/juegos-de-mesa/3344-splendor-duel.html
Waterfall Park,$ 40.000,,,https://shivano.cl/juegos-de-mesa/3346-waterfall-park.html
Pirámido,$ 28.000,,,https://shivano.cl/juegos-de-mesa/3351-piramido.html
Borderlands : Mister Torgue’s Arena of Badassery,$ 125.000,,,https://shivano.cl/juegos-de-mesa/3415-borderlands-mister-torgues-arena-of-badassery.html
Survive the Island,$ 28.000,,,https://shivano.cl/juegos-de-mesa/3513-survive-the-island.html
Chromino,$ 20.000,,,https://shivano.cl/juegos-de-mesa/3515-chromino.html
Exit: El Legado del Profesor,$ 15.000,,,https://shivano.cl/juegos-de-mesa/3559-exit-el-legado-del-profesor.html
Trama,$ 28.000,,,https://shivano.cl/juegos-de-mesa/3651-trama.html
Tulio Lulo Lana Tarro Patana,$ 15.000,,,https://shivano.cl/juegos-de-mesa/3696-tulio-lulo-lana-tarro-patana.html
Dominio de los Elementos,$ 20.000,,,https://shivano.cl/juegos-de-mesa/3762-dominio-de-los-elementos.html
Kingdomino: Origins,$ 27.000,,,https://shivano.cl/juegos-de-mesa/3766-kingdomino-origins.html
Azul Duel,$ 27.000,,,https://shivano.cl/juegos-de-mesa/3872-azul-duel.html
Food Market,$ 20.000,,,https://shivano.cl/juegos-de-mesa/3873-food-market.html
Coffee Rush,$ 40.000,,,https://shivano.cl/juegos-de-mesa/3955-coffee-rush.html
Monopoly: Pokémon,$ 32.000,,,https://shivano.cl/juegos-de-mesa/4058-monopoly-pokemon.html
Cartas para Conectar: Familia y Amigos,$ 30.000,,,https://shivano.cl/juegos-de-mesa/4064-cartas-para-conectar-familia-y-amigos.html
Cartas para Conectar: Pareja,$ 30.000,,,https://shivano.cl/juegos-de-mesa/4065-cartas-para-conectar-pareja.html
Exploding Kittens: El juego de tablero - Super Fan Edition,$ 30.000,,,https://shivano.cl/juegos-de-mesa/4106-exploding-kittens-el-juego-de-tablero-super-fan-edition.html
Kanpur: El Desierto Florido,$ 50.000,,,https://shivano.cl/juegos-de-mesa/4147-kanpur-el-desierto-florido.html
Puzzle 31 Minutos 500 Piezas: El Gran Tsunami,$ 17.000,,,https://shivano.cl/juegos-de-mesa/4240-puzzle-31-minutos-500-piezas-el-gran-tsunami.html
Pinguino Final,$ 13.000,,,https://shivano.cl/juegos-de-mesa/4243-pinguino-final.html
Disney Stitch: Experimento 626,$ 15.000,,,https://shivano.cl/juegos-de-mesa/4246-disney-stitch-experimento-626.html
Link City,$ 17.000,,,https://shivano.cl/juegos-de-mesa/4316-link-city.html
Evergreen,$ 50.000,,,https://shivano.cl/juegos-de-mesa/4318-evergreen.html
SuperStore 3000,$ 37.000,,,https://shivano.cl/juegos-de-mesa/4319-superstore-3000.html
Machi Koro 2° Ed.,$ 30.000,,,https://shivano.cl/juegos-de-mesa/4320-machi-koro-2-ed.html
For a Crown,$ 35.000,,,https://shivano.cl/juegos-de-mesa/4321-for-a-crown.html
Dobble: Catan,$ 17.000,,,https://shivano.cl/juegos-de-mesa/4329-dobble-catan.html
Hive Pocket Ultimate,$ 22.000,,,https://shivano.cl/juegos-de-mesa/4333-hive-pocket-ultimate.html
Play HIT 2000,$ 25.000,,,https://shivano.cl/juegos-de-mesa/4353-play-hit-2000.html
Tómalo Tú,$ 7.000,,,https://shivano.cl/juegos-de-mesa/4359-tomalo-tu.html
We Will Rock You,$ 10.000,,,https://shivano.cl/juegos-de-mesa/4360-we-will-rock-you.html
Dobble Sports,$ 15.000,,,https://shivano.cl/juegos-de-mesa/4391-dobble-sports.html
Trio,$ 16.000,,,https://shivano.cl/juegos-de-mesa/4392-trio.html
Caza Bombas,$ 45.000,,,https://shivano.cl/juegos-de-mesa/4393-caza-bombas.html
Fantasma Blitz ¡Feliz Aniversario!,$ 10.000,,,https://shivano.cl/juegos-de-mesa/4395-fantasma-blitz-feliz-aniversario.html
