title,original_price,current_price,stock_status,url
¡Toma 6!,"$12,990",,,https://tertulia.cl/producto/toma-6/
¡Toma 6! : 30 Aniversario,"$21,990",,,https://tertulia.cl/producto/toma-6-30-aniversario/
#_Hashtag,"$7,990",,,https://tertulia.cl/producto/hashtag/
3 Actos,"$12,990",,,https://tertulia.cl/producto/3-actos/
Alta Tensión (Reenergizado),"$39,000",,Agotado,https://tertulia.cl/producto/alta-tension/
Amigos de Mierda,"$12,990",,,https://tertulia.cl/producto/amigos-de-mierda/
Amigos de Mierda 2,"$12,990",,,https://tertulia.cl/producto/amigos-de-mierda-2/
Arcs,"$79,000",,,https://tertulia.cl/producto/arcs/
Arte Moderno (31 Minutos),"$24,990",,,https://tertulia.cl/producto/arte-moderno/
Asamblea del Mal,"$14,990",,,https://tertulia.cl/producto/asamblea-del-mal/
Aventureros al Tren Europa,"$44,000",,Agotado,https://tertulia.cl/producto/aventureros-al-tren-europa/
Aventureros al Tren Europa 15 Anniversary,"$99,000",,,https://tertulia.cl/producto/aventureros-al-tren-europa-15-anniversary/
Axio,"$34,000",,,https://tertulia.cl/producto/axio/
Azul,"$39,000",,,https://tertulia.cl/producto/azul/
Bar Bestial,"$16,990",,Agotado,https://tertulia.cl/producto/bar-bestial/
Batalla de Coronas,"$15,990",,,https://tertulia.cl/producto/batalla-de-coronas/
Bohnanza,"$12,990",,Agotado,https://tertulia.cl/producto/bohnanza/
BrainBox: Harry Potter,"$15,990",,,https://tertulia.cl/producto/brainbox-harry-potter/
Brains: Jardín Japonés,"$15,990",,,https://tertulia.cl/producto/brains-jardin-japones/
Break The Code,"$14,990",,,https://tertulia.cl/producto/break-the-code/
Cabanga,"$9,990",,,https://tertulia.cl/producto/cabanga/
Camel Up 2.0,"$53,000",,Agotado,https://tertulia.cl/producto/camel-up-2/
Carcassonne,"$24,990",,,https://tertulia.cl/producto/carcassonne/
Carcassonne 20 Aniversario,"$32,000",,Agotado,https://tertulia.cl/producto/carcassonne-20-aniversario/
Carcassonne Amazonas,"$24,990",,,https://tertulia.cl/producto/carcassonne-amazonas/
Carcassonne La Abadía y El Alcalde (Expansión),"$14,990",,,https://tertulia.cl/producto/carcassonne-la-abadia-y-el-alcalde/
Carcassonne Safari,"$29,990",,,https://tertulia.cl/producto/carcassonne-safari/
Cardline: Animales,"$12,990",,Agotado,https://tertulia.cl/producto/cardline-animales/
Cards vs Gravity,"$17,990",,,https://tertulia.cl/producto/cards-vs-gravity/
Catan,"$34,000",,,https://tertulia.cl/producto/catan/
Catan 5-6 Jugadores,"$24,990",,Agotado,https://tertulia.cl/producto/catan-5-6/
Chaski,"$16,990",,,https://tertulia.cl/producto/chaski/
Clue Escape: El Hotel de Medianoche,"$16,990",,,https://tertulia.cl/producto/clue-escape-el-hotel-de-medianoche/
Coloretto,"$12,990",,Agotado,https://tertulia.cl/producto/coloretto/
Constructorres,"$11,990",,,https://tertulia.cl/producto/constructorres/
Coyote,"$19,990",,,https://tertulia.cl/producto/coyote/
Crop Circles,"$7,990",,,https://tertulia.cl/producto/crop-circles/
Cultura Chupística,"$12,990",,Agotado,https://tertulia.cl/producto/cultura-chupistica/
Cultura Chupística: ¡RETOS!,"$16,990",,,https://tertulia.cl/producto/cultura-chupistica-retos/
Cuyuyuy,"$8,990",,,https://tertulia.cl/producto/cuyuyuy/
Cytosis,"$34,000",,,https://tertulia.cl/producto/cytosis/
Dados Pato Mar,"$13,990",,,https://tertulia.cl/producto/dados-pato-mar/
Decisiones de Mierda,"$12,990",,,https://tertulia.cl/producto/decisiones-de-mierda/
Dive,"$29,990",,,https://tertulia.cl/producto/dive/
Dixit 02: Quest (Expansión),"$19,990",,Agotado,https://tertulia.cl/producto/dixit-quest/
Dixit 03: Journey (Expansión),"$19,990",,,https://tertulia.cl/producto/dixit-journey/
Dixit 04: Origins (Expansión),"$19,990",,,https://tertulia.cl/producto/dixit-origins/
Dixit 05: Daydreams (Expansión),"$19,990",,Agotado,https://tertulia.cl/producto/dixit-daydreams/
Dixit 06: Memories (Expansión),"$19,990",,,https://tertulia.cl/producto/dixit-memories-expansion/
Dixit 07: Revelations (Expansión),"$19,990",,Agotado,https://tertulia.cl/producto/dixit-revelations/
Dixit 08: Harmonies (Expansión),"$19,990",,Agotado,https://tertulia.cl/producto/dixit-harmonies/
Dixit 09: Mirrors (Expansión),"$19,990",,,https://tertulia.cl/producto/dixit-mirrors-expansion/
Dixit 10: Anniversary (Expansión),"$19,990",,,https://tertulia.cl/producto/dixit-anniversary-expansion/
Dixit 2da Edición,"$29,990",,Agotado,https://tertulia.cl/producto/dixit-2da/
Dixit Disney Edition,"$33,000",,,https://tertulia.cl/producto/dixit-disney/
Dobble Harry Potter,"$15,990",,,https://tertulia.cl/producto/dobble-hp/
Doggy Style (31 Minutos),"$14,990",,,https://tertulia.cl/producto/doggy-style/
Donde Las Papas Queman: Apapalipsis,"$16,990",,,https://tertulia.cl/producto/donde-las-papas-queman-apapalipsis/
Draftosaurus,"$19,990",,,https://tertulia.cl/producto/draftosaurus/
Draftosaurus Marina (Expansión),"$11,990",,,https://tertulia.cl/producto/draftosaurus-marina/
Draftosaurus Show Aéreo (Expansión),"$11,990",,,https://tertulia.cl/producto/draftosaurus-show-aereo/
El Pantano de Feya,"$34,000",,,https://tertulia.cl/producto/el-pantano-de-feya/
Expedición a 5X,"$19,990",,,https://tertulia.cl/producto/expedicion-a-5x/
Exploding Kittens,"$19,990",,Agotado,https://tertulia.cl/producto/exploding-kittens/
Faraway,"$22,990",,,https://tertulia.cl/producto/faraway/
Feria de las Pulgas de Titirilquén (31 Minutos),"$14,990",,,https://tertulia.cl/producto/feria-pulgas-titirilquen/
Flip 7,"$16,990",,Agotado,https://tertulia.cl/producto/flip-7/
Fórmula 31 (31 minutos),"$19,990",,,https://tertulia.cl/producto/formula-31/
Gangsta,"$12,990",,,https://tertulia.cl/producto/gangsta/
Grúa de Peluches,"$14,990",,,https://tertulia.cl/producto/grua-de-peluches/
Guatafac,"$19,990",,Agotado,https://tertulia.cl/producto/guatafac/
Gustos son Gustos (Mafalda),"$14,990",,,https://tertulia.cl/producto/gustos-son-gustos-mafalda/
Hint,"$21,990",,,https://tertulia.cl/producto/hint/
Hitster,"$24,990",,Agotado,https://tertulia.cl/producto/hitster/
Hitster Bingo,"$39,000",,Agotado,https://tertulia.cl/producto/hitster-bingo/
Hitster Latino,"$24,990",,Agotado,https://tertulia.cl/producto/hitster-latino/
Hitster Temazos,"$24,990",,Agotado,https://tertulia.cl/producto/hitster-temazos/
Hombres Lobo de Castronegro,"$9,990",,Agotado,https://tertulia.cl/producto/hombres-lobo-de-castronegro/
Hues And Cues,"$29,990",,,https://tertulia.cl/producto/hues-and-cues/
Hula Hula,"$12,990",,,https://tertulia.cl/producto/hula-hula/
IKI,"$49,000",,,https://tertulia.cl/producto/iki/
Ilarie Ilarie Cantalo,"$19,990",,Agotado,https://tertulia.cl/producto/ilarie-ilarie-cantalo/
Isla Calavera,"$11,990",,,https://tertulia.cl/producto/isla-calavera/
Jungle Speed Eco,"$17,990",,Agotado,https://tertulia.cl/producto/jungle-speed/
King of the Court,"$12,990",,,https://tertulia.cl/producto/king-of-the-court/
Kittin,"$12,990",,,https://tertulia.cl/producto/kittin/
Kraftwagen,"$62,000",,,https://tertulia.cl/producto/kraftwagen/
La Morada Maldita,"$19,990",,,https://tertulia.cl/producto/la-morada-maldita/
La Previa,"$19,990",,Agotado,https://tertulia.cl/producto/la-previa/
Las Expediciones Ming,"$21,990",,,https://tertulia.cl/producto/las-expediciones-ming/
Las Vegas Royale,"$59,000",,,https://tertulia.cl/producto/las-vegas-royale/
Linko,"$12,990",,,https://tertulia.cl/producto/abluxxen/
Little Factory,"$23,990",,,https://tertulia.cl/producto/little-factory/
Llama,"$12,990",,,https://tertulia.cl/producto/llama/
Llama Rock & Roll,"$12,990",,,https://tertulia.cl/producto/llama-rock-and-roll/
Llamagedon,"$14,990",,,https://tertulia.cl/producto/llamagedon/
Los Odiosos 7,"$12,990",,Agotado,https://tertulia.cl/producto/los-odiosos-7/
Love Letter,"$10,990",,Agotado,https://tertulia.cl/producto/love-letter/
Mal Trago,"$15,990",,Agotado,https://tertulia.cl/producto/mal-trago/
Mandala Stones,"$37,000",,,https://tertulia.cl/producto/mandala-stones/
Marea Alta,"$12,990",,,https://tertulia.cl/producto/marea-alta/
Mariposas,"$39,000",,,https://tertulia.cl/producto/mariposas/
Mastermind,"$16,990",,,https://tertulia.cl/producto/mastermind/
Matrioska,"$9,990",,,https://tertulia.cl/producto/matrioska/
Mazescape Ariadne,"$9,990",,,https://tertulia.cl/producto/mazescape-ariadne/
Mazescape Labyrinthos,"$9,990",,,https://tertulia.cl/producto/mazescape-labyrinthos/
Medio a Medio,"$2,990",,,https://tertulia.cl/producto/medio-a-medio/
Meeple Land,"$32,000",,,https://tertulia.cl/producto/meeple-land/
