title,original_price,current_price,stock_status,url
Winter: Four Seasons,$ 10.000,,,https://www.thirdimpact.cl/product/winter-four-seasons
Yokai Sketch,$ 10.000,,,https://www.thirdimpact.cl/product/yokai-sketch
Ensalada de Puntos,$ 11.000,,,https://www.thirdimpact.cl/product/ensalada-de-puntos
Taco Gorro Torta Caja Pizza,$ 12.000,,,https://www.thirdimpact.cl/product/taco-gorro-torta-caja-pizza
Sushi GO!,$ 13.000,,,https://www.thirdimpact.cl/product/sushi-go
El Abejorro Tramposo,$ 13.000,,,https://www.thirdimpact.cl/product/el-abejorro-tramposo
Panic Lab,$ 15.000,,,https://www.thirdimpact.cl/product/panic-lab
Fast Food Fear!,$ 15.000,,,https://www.thirdimpact.cl/product/fast-food-fear
Mind Bug,$ 18.000,,,https://www.thirdimpact.cl/product/mind-bug
Los Tesoros del Rey Pirata,$ 20.000,,,https://www.thirdimpact.cl/product/los-tesoros-del-rey-pirata
Quarto,$ 20.000,,,https://www.thirdimpact.cl/product/quarto
Savernake Forest,$ 20.000,,,https://www.thirdimpact.cl/product/savernake-forest
Virus,$ 20.000,,,https://www.thirdimpact.cl/product/virus
Pylos,$ 21.000,,,https://www.thirdimpact.cl/product/pylos
Pirate Box,$ 22.000,,,https://www.thirdimpact.cl/product/pirate-box
Silk,$ 23.000,,,https://www.thirdimpact.cl/product/silk
Carcassonne (Base),$ 24.000,,,https://www.thirdimpact.cl/product/carcassonne-base
Código Secreto: Imágenes,$ 25.000,,,https://www.thirdimpact.cl/product/codigo-secreto-imagenes
Catan: El Duelo,$ 25.000,,,https://www.thirdimpact.cl/product/catan-el-duelo
La Escalera Encantada,$ 28.000,,,https://www.thirdimpact.cl/product/la-escalera-encantada
Catan: Edición de Viaje,$ 30.000,,,https://www.thirdimpact.cl/product/catan-edicion-de-viaje
El Monstruo de Colores,$ 30.000,,,https://www.thirdimpact.cl/product/el-monstruo-de-colores
King of Tokyo (2da Edición),$ 30.000,,,https://www.thirdimpact.cl/product/king-of-tokyo-2da-edicion
El Laberinto Mágico,$ 33.000,,,https://www.thirdimpact.cl/product/el-laberinto-magico
Ubongo! Classic,$ 35.000,,,https://www.thirdimpact.cl/product/ubongo-classic
Catan: El Juego,$ 35.000,,,https://www.thirdimpact.cl/product/catan-el-juego
King of New York,$ 40.000,,,https://www.thirdimpact.cl/product/king-of-new-york
"¿Alcachofas? ¡No, gracias!",$ 10.000,,Agotado,https://www.thirdimpact.cl/product/alcachofas-no-gracias
Taco Gato Cabra Queso Pizza,$ 12.000,,Agotado,https://www.thirdimpact.cl/product/taco-gato-cabra-queso-pizza
Polilla Tramposa,$ 15.000,,Agotado,https://www.thirdimpact.cl/product/polilla-tramposa
Virus 2: Evolution Expansión,$ 16.000,,Agotado,https://www.thirdimpact.cl/product/virus-2-evolution-expansion
Código Secreto,$ 20.000,,Agotado,https://www.thirdimpact.cl/product/codigo-secreto
Catan: El Juego Ampliación 5-6 Jugadores,$ 25.000,,Agotado,https://www.thirdimpact.cl/product/catan-el-juego-ampliacion-5-6-jugadores
