title,original_price,current_price,stock_status,url
Agricola,$49.990,,,https://tiendalamadriguera.cl/product/agricola/
Arkham Noir #2 “Invocado por el trueno”,$15.990,,,https://tiendalamadriguera.cl/product/arkham-noir-2-invocado-por-el-trueno/
Arkham Noir #3: “Abismos Infinitos de Oscuridad”,$15.990,,,https://tiendalamadriguera.cl/product/arkham-noir-3-abismos-infinitos-de-oscuridad/
Bitoku,$62.990,$57.470,Oferta,https://tiendalamadriguera.cl/product/bitoku/
Catan Basico,$29.990,,,https://tiendalamadriguera.cl/product/catan-basico/
Caverna: 2 Jugadores,$19.990,,,https://tiendalamadriguera.cl/product/caverna-2-jugadores/
Clank!,$54.990,,,https://tiendalamadriguera.cl/product/clank/
Colt Express,$32.990,,,https://tiendalamadriguera.cl/product/colt-express/
Crónicas,$14.990,$11.500,Oferta,https://tiendalamadriguera.cl/product/cronicas/
CRYO,$59.990,$45.000,Oferta,https://tiendalamadriguera.cl/product/cryo/
Dixit Nueva Versión,$29.990,,,https://tiendalamadriguera.cl/product/dixit/
Dobble Eco Blister,$8.990,,,https://tiendalamadriguera.cl/product/dobble-eco-blister/
El Señor de los Anillos Caja Básica Ed. Revisada,$69.990,$62.990,Oferta,https://tiendalamadriguera.cl/product/el-senor-de-los-anillos-caja-basica-ed-revisada/
Equinox (Versión Morada),$33.990,$19.990,Oferta,https://tiendalamadriguera.cl/product/equinox-version-morada/
Equinox (Versión Verde),$33.990,$19.990,Oferta,https://tiendalamadriguera.cl/product/equinox-version-verde/
Everdell Spirecrest,$51.990,,,https://tiendalamadriguera.cl/product/everdell-spirecrest/
Excavación Tierra,$54.990,$43.000,Oferta,https://tiendalamadriguera.cl/product/excavacin-tierra/
Excavación Tierra: Segunda Oleada,$29.990,$23.500,Oferta,https://tiendalamadriguera.cl/product/excavacion-tierra-segunda-oleada/
Exploding Kittens,$19.990,$17.990,Oferta,https://tiendalamadriguera.cl/product/exploding-kittens/
Exploding Kittens NSFW,$19.990,,,https://tiendalamadriguera.cl/product/exploding-kittens-nsfw/
Genios Victorianos,$39.990,,,https://tiendalamadriguera.cl/product/genios-victorianos/
Gloomhaven: Círculos Olvidados,$39.990,,,https://tiendalamadriguera.cl/product/gloomhaven-circulos-olvidados/
Hexcalibur,$29.990,$22.500,Oferta,https://tiendalamadriguera.cl/product/hexcalibur/
Insondable,$74.990,,,https://tiendalamadriguera.cl/product/insondable/
Juego de Tronos: Tierra de Nadie,$25.990,$19.500,Oferta,https://tiendalamadriguera.cl/product/juego-de-tronos-tierra-de-nadie/
LLAMALAND,$34.990,,,https://tiendalamadriguera.cl/product/llamaland/
"Marvel Crisis Protocol: Nick Fury, Jr. & SHIELD Agents",$39.990,,,https://tiendalamadriguera.cl/product/marvel-crisis-protocol-nick-fury-jr-shield-agents-preventa/
Marvel Crisis Protocol: Shadowland Daredevil & Elektra with Hand Ninjas,$44.990,,,https://tiendalamadriguera.cl/product/marvel-crisis-protocol-shadowland-daredevil-elektra-with-hand-ninjas/
Oh My Goods!,$13.990,,,https://tiendalamadriguera.cl/product/oh-my-goods/
Pandemic,$34.990,,,https://tiendalamadriguera.cl/product/pandemic/
Reserva El Hobbit: Historia de una Ida y de una Vuelta,$29.990,,,https://tiendalamadriguera.cl/product/el-hobbit-historia-de-una-ida-y-de-una-vuelta/
Reserva Las Dos Torres: El juego de bazas,$21.990,,,https://tiendalamadriguera.cl/product/reserva-las-dos-torres-el-juego-de-bazas/
The Siege of Runedar,$54.990,$49.990,Oferta,https://tiendalamadriguera.cl/product/the-siege-of-runedar/
Vampiro: La Mascarada – Vendetta.,$29.990,,,https://tiendalamadriguera.cl/product/vampiro-la-mascarada-vendetta/
World of Warcraft: Wrath of the Lich King,$54.990,,,https://tiendalamadriguera.cl/product/world-of-warcraft-wrath-of-the-lich-king/
X Men. Insurrección Mutante,$49.990,,,https://tiendalamadriguera.cl/product/x-men-insurreccion-mutante/
