title,original_price,current_price,stock_status,url
Ajedrez Plástico Magnético Blanco/Negro,$17.990,,,https://www.updown.cl/producto/ajedrez-plastico-magnetico-blanco-negro/
Tantrix,$29.990,,,https://www.updown.cl/producto/tantrix/
Ace of Spades,$19.990,,,https://www.updown.cl/producto/ace-of-spades/
El Bosque de los Espiritus,$31.990,,,https://www.updown.cl/producto/el-bosque-de-los-espiritus/
Funda Dragon Shield 60 Japanese Matte Silver,$7.990,,,https://www.updown.cl/producto/funda-dragon-shield-60-japanese-matte-silver/
Funda Dragon Shield 60 Japanese Matte Black,$7.990,,,https://www.updown.cl/producto/funda-dragon-shield-60-japanese-matte-black/
Funda Dragon Shield 60 Japanese Classic Clear,$7.990,,,https://www.updown.cl/producto/funda-dragon-shield-60-japanese-classic-clear/
Funda Dragon Shield 60 Japanese Classic White,$7.990,,,https://www.updown.cl/producto/funda-dragon-shield-60-japanese-classic-white/
Funda Dragon Shield 60 Japanese Classic Black,$7.990,,,https://www.updown.cl/producto/funda-dragon-shield-60-japanese-classic-black/
Artes Arcanas – Trickerion,$31.990,,,https://www.updown.cl/producto/artes-arcanas-trickerion/
Trickerion: Leyendas del Ilusionismo – Edición 10 Aniversario,$284.990,,,https://www.updown.cl/producto/trickerion-leyendas-del-ilusionismo-edicion-10-aniversario/
La Isla de los Gatos Duel,$29.990,,,https://www.updown.cl/producto/la-isla-de-los-gatos-duel/
Reinos Rodados Relanzados,$30.990,,,https://www.updown.cl/producto/reinos-rodados-relanzados/
En Sintonía,$21.990,,,https://www.updown.cl/producto/en-sintonia/
Uno Elite Formula 1,$17.990,,,https://www.updown.cl/producto/uno-elite-formula-1/
USA 1910 – Aventureros al Tren,$18.990,,,https://www.updown.cl/producto/usa-1910-aventureros-al-tren/
Pack de Expansión – Skull King,$14.990,,,https://www.updown.cl/producto/pack-de-expansion-skull-king/
Exit Aventuras en Catan,$15.990,,,https://www.updown.cl/producto/exit-aventuras-en-catan/
Mala Suerte,$15.990,,,https://www.updown.cl/producto/mala-suerte/
Theos,$23.990,,,https://www.updown.cl/producto/theos/
Trasteros,$25.990,,,https://www.updown.cl/producto/trasteros/
Prado,$24.990,,,https://www.updown.cl/producto/prado/
President,$28.990,,,https://www.updown.cl/producto/president/
Diluvio,$29.990,,,https://www.updown.cl/producto/diluvio/
Loops,$13.990,,,https://www.updown.cl/producto/loops/
Spoilers: Travel Edition,$9.990,,,https://www.updown.cl/producto/spoilers-travel-edition/
Kryptex,$17.990,,,https://www.updown.cl/producto/kryptex/
La Llamada de Cthulhu – Los Hijos del Miedo,$54.990,,,https://www.updown.cl/producto/la-llamada-de-cthulhu-los-hijos-del-miedo/
Fiebre de Papas por la Noche,$15.990,,,https://www.updown.cl/producto/fiebre-de-papas-por-la-noche/
Hitster Summer Party,$24.990,,,https://www.updown.cl/producto/hitster-summer-party/
Exit Conspiración en Venecia,$13.990,,,https://www.updown.cl/producto/exit-conspiracion-en-venecia/
Cosas en Círculos,$24.990,,,https://www.updown.cl/producto/cosas-en-circulos/
Trailblazers Edición de Viaje,$29.990,,,https://www.updown.cl/producto/trailblazers-edicion-de-viaje/
Playmat 61×35 Flamalama – Azul,$16.990,,,https://www.updown.cl/producto/playmat-61x35-flamalama-azul/
Playmat 61×35 Flamalama – Rojo,$16.990,,,https://www.updown.cl/producto/playmat-61x35-flamalama-rojo/
Tank Up,$24.990,,,https://www.updown.cl/producto/tank-up/
Santuario + Promo,$52.990,,,https://www.updown.cl/producto/santuario-promo/
Lutier,$79.990,,,https://www.updown.cl/producto/lutier/
Nanatoridori,$13.990,,,https://www.updown.cl/producto/nanatoridori/
Abundancia – Earth,$45.990,,,https://www.updown.cl/producto/abundancia-earth/
Fundas Mayday Games Yucatan Narrow 54x80mm,$3.490,,,https://www.updown.cl/producto/fundas-mayday-games-yucatan-narrow-54x80mm/
Sherlock El endemoniado,$8.990,,,https://www.updown.cl/producto/sherlock-el-endemoniado/
Sunrise Sunset,$17.990,,,https://www.updown.cl/producto/sunrise-sunset/
Dnup,$13.990,,,https://www.updown.cl/producto/dnup/
Orbito,$31.990,,,https://www.updown.cl/producto/orbito/
Bienvenidos a Everdell,$45.990,,,https://www.updown.cl/producto/bienvenidos-a-everdell/
Kanal,$74.990,,,https://www.updown.cl/producto/kanal/
Reyes de la Perdición – Tainted Grail,$209.990,,,https://www.updown.cl/producto/reyes-de-la-perdicion-tainted-grail/
Misiones – Terraforming Mars: El juego de dados,$17.990,,,https://www.updown.cl/producto/misiones-terraforming-mars-el-juego-de-dados/
Academia de Dragones – Wyrmspan,$37.990,,,https://www.updown.cl/producto/academia-de-dragones-wyrmspan/
Unidad auxiliar 01 – Compile,$8.990,,,https://www.updown.cl/producto/unidad-auxiliar-01-compile/
Monopoly Junior 2 en 1,$21.990,,,https://www.updown.cl/producto/monopoly-junior-2-en-1/
